YEAR,TOTAL_POP,GEOLEV2,EDU_LESS_PRIM_POP,EDU_PRIM_POP,EDU_SEC_POP,EDU_UNI_POP,EDU_UK_POP,EDU_LESS_PRIM_PCT,EDU_PRIM_PCT,EDU_SEC_PCT,EDU_UNI_PCT,EDU_UK_PCT
2010,111960139,484014066,22028,19327,2518,739,142,49.22,43.18,5.63,1.65,0.32
2010,111960139,484014067,69203,105025,46200,16832,2222,28.9,43.86,19.29,7.03,0.93
2010,111960139,484014068,5720,4573,577,224,140,50.92,40.71,5.14,1.99,1.25
2010,111960139,484014069,4839,3213,360,87,36,56.7,37.64,4.22,1.02,0.42
2010,111960139,484014070,45684,63307,14142,2812,1806,35.76,49.55,11.07,2.2,1.41
2010,111960139,484014071,1452,1398,140,25,1,48.14,46.35,4.64,0.83,0.03
2010,111960139,484014072,3138,2860,384,100,74,47.86,43.62,5.86,1.53,1.13
2010,111960139,484014073,25996,28532,5346,1391,526,42.07,46.18,8.65,2.25,0.85
2010,111960139,484014074,5750,6342,672,254,85,43.88,48.4,5.13,1.94,0.65
2010,111960139,484014075,1361,1563,469,139,20,38.32,44.0,13.2,3.91,0.56
2010,111960139,484014076,1526,1372,206,60,16,47.99,43.14,6.48,1.89,0.5
2010,111960139,484014077,9171,10844,3055,1154,356,37.31,44.12,12.43,4.69,1.45
2010,111960139,484014078,13811,13477,2176,796,109,45.48,44.38,7.17,2.62,0.36
2010,111960139,484014079,6191,6382,1319,366,269,42.62,43.93,9.08,2.52,1.85
2010,111960139,484014080,2682,2796,464,110,14,44.21,46.09,7.65,1.81,0.23
2010,111960139,484014081,1853,1456,154,62,25,52.2,41.01,4.34,1.75,0.7
2010,111960139,484014082,10533,14230,3668,2149,227,34.19,46.19,11.91,6.98,0.74
2010,111960139,484014083,25445,30913,6600,1800,573,38.95,47.32,10.1,2.76,0.88
2010,111960139,484014084,6170,6260,1015,215,130,44.74,45.4,7.36,1.56,0.94
2010,111960139,484014085,15551,15104,3224,818,515,44.16,42.89,9.16,2.32,1.46
2010,111960139,484014086,7661,7601,1143,207,165,45.66,45.31,6.81,1.23,0.98
2010,111960139,484014087,7912,7024,1010,380,36,48.36,42.93,6.17,2.32,0.22
2010,111960139,484014088,6746,7524,1414,450,54,41.67,46.48,8.73,2.78,0.33
2010,111960139,484014089,1298,1685,250,43,28,39.29,51.0,7.57,1.3,0.85
2010,111960139,484014090,2628,2958,546,190,34,41.35,46.54,8.59,2.99,0.53
2010,111960139,484014091,19244,16357,2485,548,156,49.61,42.17,6.41,1.41,0.4
2010,111960139,484014092,5411,4020,678,169,52,52.38,38.92,6.56,1.64,0.5
2010,111960139,484014093,51171,55461,13279,6612,795,40.19,43.56,10.43,5.19,0.62
2010,111960139,484014094,15125,15929,4384,1172,144,41.15,43.34,11.93,3.19,0.39
2010,111960139,484014095,3614,4229,875,248,33,40.16,46.99,9.72,2.76,0.37
2010,111960139,484014096,9461,9225,1320,310,491,45.47,44.34,6.34,1.49,2.36
2010,111960139,484014097,135045,191761,41215,16871,3944,34.73,49.32,10.6,4.34,1.01
2010,111960139,484014098,180415,276429,78336,28977,6558,31.61,48.44,13.73,5.08,1.15
2010,111960139,484014099,4195,3935,522,109,24,47.75,44.79,5.94,1.24,0.27
2010,111960139,484014100,16073,14042,2683,760,208,47.6,41.59,7.95,2.25,0.62
2010,111960139,484014101,154832,205201,54748,16488,4409,35.54,47.1,12.57,3.78,1.01
2010,111960139,484014102,2632,2672,526,174,26,43.65,44.31,8.72,2.89,0.43
2010,111960139,484014103,3234,3748,718,182,101,40.51,46.95,8.99,2.28,1.27
2010,111960139,484014104,2348,2286,474,142,16,44.59,43.41,9.0,2.7,0.3
2010,111960139,484014105,8921,8832,1228,458,180,45.47,45.02,6.26,2.33,0.92
2010,111960139,484014106,1947,1691,260,57,11,49.09,42.64,6.56,1.44,0.28
2010,111960139,484014107,2546,2829,548,113,68,41.71,46.35,8.98,1.85,1.11
2010,111960139,484014108,12492,14932,4796,1562,118,36.85,44.05,14.15,4.61,0.35
2010,111960139,484014109,8264,7344,994,236,144,48.66,43.25,5.85,1.39,0.85
2010,111960139,484014110,4839,5650,1292,523,40,39.2,45.77,10.47,4.24,0.32
2010,111960139,484014111,2314,2722,540,170,20,40.13,47.21,9.37,2.95,0.35
2010,111960139,484014112,2641,2634,513,150,12,44.39,44.27,8.62,2.52,0.2
2010,111960139,484014113,5818,6539,1418,342,89,40.95,46.03,9.98,2.41,0.63
2010,111960139,484014114,6033,7387,2090,412,188,37.45,45.85,12.97,2.56,1.17
2010,111960139,484014115,2886,1924,373,89,36,54.37,36.25,7.03,1.68,0.68
2010,111960139,484014116,7760,7437,1160,185,89,46.66,44.72,6.97,1.11,0.54
2010,111960139,484014117,1687,1270,165,29,9,53.39,40.19,5.22,0.92,0.28
2010,111960139,484014118,9509,8590,1653,827,122,45.93,41.5,7.99,3.99,0.59
2010,111960139,484014119,9903,12487,2252,752,216,38.67,48.76,8.79,2.94,0.84
2010,111960139,484014120,308015,449388,222409,185241,10365,26.2,38.23,18.92,15.76,0.88
2010,111960139,484014121,10491,12507,2946,756,48,39.22,46.76,11.01,2.83,0.18
2010,111960139,484014122,3017,2991,572,102,34,44.92,44.54,8.52,1.52,0.51
2010,111960139,484014123,7876,7972,613,89,89,47.33,47.91,3.68,0.53,0.53
2010,111960139,484014124,29250,25498,5022,724,406,48.03,41.87,8.25,1.19,0.67
2010,111960139,484015001,26807,24368,3653,1341,183,47.57,43.24,6.48,2.38,0.32
2010,111960139,484015002,36796,61635,21256,5011,679,29.35,49.16,16.95,4.0,0.54
2010,111960139,484015003,17977,18917,3384,1010,99,43.44,45.71,8.18,2.44,0.24
2010,111960139,484015004,6326,6084,676,338,75,46.86,45.07,5.01,2.5,0.56
2010,111960139,484015005,48830,61875,18581,6022,535,35.95,45.55,13.68,4.43,0.39
2010,111960139,484015006,3732,4695,1847,605,69,34.09,42.88,16.87,5.53,0.63
2010,111960139,484015007,9399,9138,1061,321,244,46.62,45.32,5.26,1.59,1.21
2010,111960139,484015008,11440,9703,1571,636,142,48.7,41.3,6.69,2.71,0.6
2010,111960139,484015009,14013,22004,7503,3230,434,29.7,46.63,15.9,6.85,0.92
2010,111960139,484015010,8606,11792,3215,568,196,35.3,48.37,13.19,2.33,0.8
2010,111960139,484015011,1115618,1931549,759913,259876,41771,27.15,47.01,18.5,6.32,1.02
2010,111960139,484015012,3648,5013,1149,369,69,35.6,48.92,11.21,3.6,0.67
2010,111960139,484015013,111195,195647,96760,58918,5271,23.77,41.82,20.68,12.59,1.13
2010,111960139,484015014,31543,38390,12359,5590,357,35.75,43.51,14.01,6.34,0.4
2010,111960139,484015015,9800,12461,2934,885,254,37.21,47.32,11.14,3.36,0.96
2010,111960139,484015016,9275,11642,2360,494,154,38.77,48.66,9.86,2.06,0.64
2010,111960139,484015017,2800,4465,1138,333,56,31.85,50.78,12.94,3.79,0.64
2010,111960139,484015018,14884,21735,6458,1249,177,33.44,48.84,14.51,2.81,0.4
2010,111960139,484015019,8615,14173,4974,1660,119,29.16,47.98,16.84,5.62,0.4
2010,111960139,484015020,57917,110540,72228,24363,2642,21.64,41.29,26.98,9.1,0.99
2010,111960139,484015021,16361,15135,1388,592,230,48.54,44.9,4.12,1.76,0.68
2010,111960139,484015022,3455,5866,2260,750,39,27.93,47.42,18.27,6.06,0.32
2010,111960139,484015023,11470,16415,6005,1470,210,32.25,46.15,16.88,4.13,0.59
2010,111960139,484015024,294279,526634,274294,93427,10626,24.54,43.91,22.87,7.79,0.89
2010,111960139,484015025,207085,317136,81382,13436,5818,33.14,50.75,13.02,2.15,0.93
2010,111960139,484015026,11775,11827,1725,392,256,45.33,45.53,6.64,1.51,0.99
2010,111960139,484015027,3189,5100,1662,330,83,30.77,49.21,16.04,3.18,0.8
2010,111960139,484015028,6833,11771,4309,1206,164,28.14,48.47,17.74,4.97,0.68
2010,111960139,484015029,46774,79791,29478,7162,1982,28.32,48.3,17.85,4.34,1.2
