GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484001001,339718,17287,282878,1490,52.97,2.7,44.11,0.23
484001002,12613,1188,18979,327,38.1,3.59,57.33,0.99
484001003,18521,1171,20233,202,46.16,2.92,50.42,0.5
484001004,4350,282,5572,81,42.29,2.74,54.18,0.79
484001005,35842,1767,32641,216,50.86,2.51,46.32,0.31
484001006,29026,2055,31517,246,46.19,3.27,50.15,0.39
484001007,2116,422,2630,62,40.46,8.07,50.29,1.19
484001008,5254,790,8082,18,37.15,5.59,57.14,0.13
484002001,197226,5619,150017,2598,55.48,1.58,42.2,0.73
484002002,384970,20109,322350,3147,52.69,2.75,44.12,0.43
484002004,729201,44220,533026,9296,55.42,3.36,40.51,0.71
484003001,287361,12335,191783,3259,58.08,2.49,38.76,0.66
484004001,23500,101,16966,199,57.65,0.25,41.62,0.49
484004003,279340,9242,264692,2624,50.25,1.66,47.62,0.47
484004004,9810,164,10758,74,47.15,0.79,51.71,0.36
484004005,3256,111,3907,15,44.67,1.52,53.6,0.21
484004006,3733,60,3655,15,50.02,0.8,48.97,0.2
484005001,408,11,460,5,46.15,1.24,52.04,0.57
484005002,54245,3746,43135,444,53.41,3.69,42.47,0.44
484005003,7680,467,9491,48,43.42,2.64,53.66,0.27
484005004,7856,450,9214,57,44.69,2.56,52.42,0.32
484005005,610,10,717,6,45.42,0.74,53.39,0.45
484005006,8610,528,10098,60,44.62,2.74,52.33,0.31
484005007,4239,283,4563,60,46.35,3.09,49.9,0.66
484005008,938,47,1232,15,42.03,2.11,55.2,0.67
484005009,20231,846,21162,239,47.63,1.99,49.82,0.56
484005010,26747,1464,28191,536,46.98,2.57,49.51,0.94
484005011,4268,176,5112,32,44.51,1.84,53.32,0.33
484005012,688,13,779,16,45.99,0.87,52.07,1.07
484005013,542,29,572,5,47.21,2.53,49.83,0.44
484005014,2904,202,4012,55,40.49,2.82,55.93,0.77
484005015,544,14,686,11,43.35,1.12,54.66,0.88
484005016,548,8,886,14,37.64,0.55,60.85,0.96
484005017,36893,1271,40201,221,46.95,1.62,51.16,0.28
484005018,85577,4398,76833,1324,50.9,2.62,45.7,0.79
484005019,2952,300,3817,18,41.65,4.23,53.86,0.25
484005020,21062,1445,28990,450,40.55,2.78,55.81,0.87
484005021,2306,40,2548,18,46.95,0.81,51.87,0.37
484005022,9400,543,10321,49,46.28,2.67,50.81,0.24
484005023,3422,322,4641,42,40.61,3.82,55.07,0.5
484005024,17584,505,16365,152,50.81,1.46,47.29,0.44
484005025,61037,3012,49322,481,53.61,2.65,43.32,0.42
484005026,1061,47,1544,23,39.66,1.76,57.72,0.86
484005027,30895,1116,23333,117,55.71,2.01,42.07,0.21
484005028,20933,1954,22187,206,46.23,4.32,49.0,0.45
484005029,828,33,912,16,46.28,1.84,50.98,0.89
484005030,293068,17394,241385,2474,52.87,3.14,43.55,0.45
484005031,8071,345,8356,146,47.71,2.04,49.39,0.86
484005032,14407,877,17565,121,43.7,2.66,53.28,0.37
484005033,30706,4531,39767,577,40.63,5.99,52.62,0.76
484005034,1934,96,2288,136,43.42,2.16,51.37,3.05
484005035,242723,21389,232420,3359,48.56,4.28,46.49,0.67
484005036,5527,974,8783,42,36.06,6.36,57.31,0.27
484005037,1688,56,2351,30,40.92,1.36,56.99,0.73
484005038,4792,262,5494,25,45.32,2.48,51.96,0.24
484006001,86079,2734,57146,729,58.68,1.86,38.96,0.5
484006002,65420,2062,48631,516,56.09,1.77,41.7,0.44
484006003,8757,254,6780,112,55.07,1.6,42.63,0.7
484006004,7977,335,6226,82,54.56,2.29,42.59,0.56
484006005,10835,334,9813,63,51.48,1.59,46.63,0.3
484006006,2340,36,2305,38,49.59,0.76,48.85,0.81
484006007,2967,84,3768,57,43.15,1.22,54.8,0.83
484006008,48730,1318,33965,401,57.73,1.56,40.24,0.48
484006009,56008,2200,36340,243,59.09,2.32,38.34,0.26
484007001,4604,491,7524,85,36.24,3.86,59.23,0.67
484007002,39090,2126,46364,276,44.49,2.42,52.77,0.31
484007003,9191,249,11259,213,43.95,1.19,53.84,1.02
484007004,9056,63,11000,118,44.75,0.31,54.36,0.58
484007005,5255,445,8700,175,36.05,3.05,59.69,1.2
484007006,8949,118,12350,150,41.49,0.55,57.26,0.7
484007007,3211,51,2430,22,56.2,0.89,42.53,0.39
