GEOLEV2,ABOVE_POVERTY_POP,BELOW_POVERTY_POP,ABOVE_POVERTY_PCT,BELOW_POVERTY_PCT
484008008,5060,15952,24.08,75.92
484008009,5650,11460,33.02,66.98
484008010,12924,23132,35.84,64.16
484008011,1101,5899,15.73,84.27
484008012,2033,5514,26.94,73.06
484008013,369,1456,20.22,79.78
484008014,367,895,29.08,70.92
484008015,807,2199,26.85,73.15
484008016,44438,66792,39.95,60.05
484008017,1204,2918,29.21,70.79
484008018,266272,349263,43.26,56.74
484008019,484,5349,8.3,91.7
484008020,44010,61307,41.79,58.21
484008021,417,2004,17.22,82.78
484008022,1043,2341,30.82,69.18
484008023,702,2690,20.7,79.3
484008024,1547,4865,24.13,75.87
484008025,560,2046,21.49,78.51
484008026,1101,3054,26.5,73.5
484008027,3255,30928,9.52,90.48
484008028,1026,5595,15.5,84.5
484008029,8055,20162,28.55,71.45
484008030,28419,52939,34.93,65.07
484008031,107,738,12.66,87.34
484008032,801,4795,14.31,85.69
484008033,2140,5557,27.8,72.2
484008034,10054,21515,31.85,68.15
484008035,342348,596388,36.47,63.53
484008036,1238,2440,33.66,66.34
484008037,1150,2963,27.96,72.04
484008038,4825,17298,21.81,78.19
484008039,170,1203,12.38,87.62
484008040,242,1002,19.45,80.55
484008041,543,1803,23.15,76.85
484008042,1038,2680,27.92,72.08
484008043,12443,18793,39.84,60.16
484008044,450,5082,8.13,91.87
484008045,578,3246,15.12,84.88
484008046,4905,12465,28.24,71.76
484008047,271,1844,12.81,87.19
484008048,13219,29005,31.31,68.69
484008049,1233,4167,22.83,77.17
484008050,6978,12781,35.32,64.68
484008051,932,2674,25.85,74.15
484008052,1404,3276,30.0,70.0
484008053,4409,7848,35.97,64.03
484008054,160,1630,8.94,91.06
484008055,298,1576,15.9,84.1
484008056,711,1607,30.67,69.33
484008057,954,2718,25.98,74.02
484008058,2176,4930,30.62,69.38
484008059,584,2682,17.88,82.12
484008060,7949,16807,32.11,67.89
484008061,657,4198,13.53,86.47
484008062,171,1299,11.63,88.37
484008063,2317,10633,17.89,82.11
484008064,375,5644,6.23,93.77
484008065,736,2922,20.12,79.88
484009001,1711547,2357199,42.07,57.93
484009002,659607,1042585,38.75,61.25
484009003,67307,105140,39.03,60.97
484009004,26998,68396,28.3,71.7
484009005,101778,167926,37.74,62.26
484009006,213039,293042,42.1,57.9
484010001,7844,34134,18.69,81.31
484010002,230,2611,8.1,91.9
484010003,253,2972,7.84,92.16
484010004,5105,19607,20.66,79.34
484010005,151756,275103,35.55,64.45
484010006,1028,7815,11.63,88.37
484010007,75951,161352,32.01,67.99
484010008,4227,19376,17.91,82.09
484010009,1482,5794,20.37,79.63
484010010,357,2694,11.7,88.3
484010011,520,3018,14.7,85.3
484010012,34884,67864,33.95,66.05
484010013,4002,14040,22.18,77.82
484010014,1441,19648,6.83,93.17
484010015,1576,7428,17.5,82.5
484010016,2509,11769,17.57,82.43
484010017,864,5811,12.94,87.06
484010018,1773,6610,21.15,78.85
484010019,249,3382,6.86,93.14
484010020,1289,7861,14.09,85.91
484010021,1193,7216,14.19,85.81
484010022,2808,15251,15.55,84.45
484010023,7081,25571,21.69,78.31
484010024,1408,7680,15.49,84.51
484010025,217,2460,8.11,91.89
484010026,2040,11341,15.25,84.75
484010027,310,4413,6.56,93.44
484010028,1153,7682,13.05,86.95
484010029,176,1453,10.8,89.2
484010030,177,1137,13.47,86.53
484010031,380,5183,6.83,93.17
484010032,7762,25255,23.51,76.49
484010033,530,4076,11.51,88.49
484010034,1761,16510,9.64,90.36
484010035,1784,6465,21.63,78.37
484010036,4202,12349,25.39,74.61
484010037,1254,3976,23.98,76.02
484010038,2993,12190,19.71,80.29
484011001,9713,51640,15.83,84.17
484011002,17350,64851,21.11,78.89
484011003,31500,79217,28.45,71.55
484011004,12031,34769,25.71,74.29
484011005,17897,42057,29.85,70.15
484011006,603,4314,12.26,87.74
484011007,135503,214314,38.74,61.26
484011008,5119,21313,19.37,80.63
484011009,12915,42615,23.26,76.74
484011010,1441,7269,16.54,83.46
484011011,18165,45182,28.68,71.32
484011012,3266,17445,15.77,84.23
484011013,3157,13218,19.28,80.72
484011014,22694,82195,21.64,78.36
484011015,46833,80832,36.68,63.32
484011016,1831,12729,12.58,87.42
484011017,131642,263631,33.3,66.7
484011018,5843,23338,20.02,79.98
484011019,3837,34748,9.94,90.06
484011020,446908,594603,42.91,57.09
484011021,11713,26632,30.55,69.45
484011022,2583,14028,15.55,84.45
484011023,17310,93334,15.64,84.36
484011024,1512,7288,17.18,82.82
484011025,21064,27060,43.77,56.23
484011026,8375,31511,21.0,79.0
484011027,59595,135508,30.55,69.45
484011028,12631,60117,17.36,82.64
484011029,3064,24082,11.29,88.71
