GEOLEV2,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT
484012036,10068,597,35,94.09,5.58,0.33
484012037,5138,774,0,86.91,13.09,0.0
484012038,106392,35765,624,74.51,25.05,0.44
484012039,21419,3420,140,85.75,13.69,0.56
484012040,22174,3349,131,86.43,13.05,0.51
484012041,39242,480,266,98.13,1.2,0.67
484012042,16057,1263,44,92.47,7.27,0.25
484012043,37035,565,128,98.16,1.5,0.34
484012044,9204,1128,579,84.36,10.34,5.31
484012045,21435,2142,215,90.09,9.0,0.9
484012046,55870,6182,560,89.23,9.87,0.89
484012047,6067,883,23,87.01,12.66,0.33
484012048,33319,11405,10,74.48,25.5,0.02
484012049,8882,2068,28,80.91,18.84,0.26
484012050,28284,8250,171,77.06,22.48,0.47
484012051,30322,2771,600,89.99,8.22,1.78
484012052,40034,2556,401,93.12,5.95,0.93
484012053,42993,4901,0,89.77,10.23,0.0
484012054,26197,1608,194,93.56,5.74,0.69
484012055,81564,23237,348,77.57,22.1,0.33
484012056,41601,2221,160,94.59,5.05,0.36
484012057,50002,11541,90,81.13,18.73,0.15
484012058,43519,9908,55,81.37,18.53,0.1
484012059,24544,4532,100,84.12,15.53,0.34
484012060,12112,1471,12,89.09,10.82,0.09
484012061,35235,4768,168,87.71,11.87,0.42
484012062,20536,436,191,97.04,2.06,0.9
484012063,9674,216,53,97.29,2.17,0.53
484012064,10105,1790,28,84.75,15.01,0.23
484012065,6564,866,25,88.05,11.62,0.34
484012066,69937,10403,476,86.54,12.87,0.59
484012067,20327,3041,40,86.84,12.99,0.17
484012068,11682,424,93,95.76,3.48,0.76
484012069,5992,842,30,87.3,12.27,0.44
484012070,26958,932,152,96.13,3.32,0.54
484012071,42286,523,381,97.91,1.21,0.88
484012072,17174,1872,47,89.95,9.8,0.25
484012073,21598,822,93,95.94,3.65,0.41
484012074,37218,7991,626,81.2,17.43,1.37
484013001,17349,1742,29,90.74,9.11,0.15
484013002,35085,5325,126,86.55,13.14,0.31
484013003,45213,10029,0,81.85,18.15,0.0
484013004,8064,1089,12,87.99,11.88,0.13
484013005,16176,1319,42,92.24,7.52,0.24
484013006,16031,2645,25,85.72,14.14,0.13
484013007,8766,2115,0,80.56,19.44,0.0
484013008,33063,9089,224,78.02,21.45,0.53
484013009,16852,865,141,94.37,4.84,0.79
484013010,24847,3857,42,86.44,13.42,0.15
484013011,18190,622,120,96.08,3.29,0.63
484013012,23149,4567,10,83.49,16.47,0.04
484013013,27058,3862,48,87.37,12.47,0.15
484013014,15547,662,10,95.86,4.08,0.06
484013015,18185,994,0,94.82,5.18,0.0
484013016,46297,8129,108,84.9,14.91,0.2
484013017,10952,1320,16,89.13,10.74,0.13
484013018,22041,1097,65,94.99,4.73,0.28
484013019,34050,5397,161,85.97,13.63,0.41
484013020,2674,116,2,95.77,4.15,0.07
484013021,10792,2404,56,81.44,18.14,0.42
484013022,11129,2626,187,79.82,18.84,1.34
484013023,32142,2727,40,92.07,7.81,0.11
484013024,16468,1632,0,90.98,9.02,0.0
484013025,22190,994,53,95.49,4.28,0.23
484013026,12007,232,36,97.82,1.89,0.29
484013027,22206,1948,26,91.84,8.06,0.11
484013028,113282,8862,418,92.43,7.23,0.34
484013029,37762,6516,0,85.28,14.72,0.0
484013030,72441,13388,255,84.15,15.55,0.3
484013031,11667,965,25,92.18,7.62,0.2
484013032,10245,483,172,93.99,4.43,1.58
484013033,2938,238,8,92.27,7.47,0.25
484013034,9454,559,3,94.39,5.58,0.03
484013035,11003,1095,16,90.83,9.04,0.13
484013036,7517,1266,9,85.5,14.4,0.1
484013037,19096,1427,56,92.79,6.93,0.27
484013038,7302,528,0,93.26,6.74,0.0
484013039,10042,4798,88,67.27,32.14,0.59
484013040,9736,400,0,96.05,3.95,0.0
484013041,38150,5085,70,88.1,11.74,0.16
484013042,8983,1197,28,88.0,11.73,0.27
484013043,7562,330,39,95.35,4.16,0.49
484013044,13323,2789,48,82.44,17.26,0.3
484013045,7374,694,32,91.04,8.57,0.4
484013046,36307,1646,144,95.3,4.32,0.38
484013047,5491,402,2,93.15,6.82,0.03
484013048,197250,67919,1585,73.94,25.46,0.59
484013049,18053,847,7,95.48,4.48,0.04
484013050,97038,30755,190,75.82,24.03,0.15
484013051,28540,3821,6,88.18,11.81,0.02
484013052,16841,1004,119,93.75,5.59,0.66
484013053,30548,1798,24,94.37,5.55,0.07
484013054,15175,654,64,95.48,4.12,0.4
484013055,27618,7312,48,78.96,20.9,0.14
484013056,10958,2784,0,79.74,20.26,0.0
484013057,15543,2004,5,88.55,11.42,0.03
484013058,31487,3031,8,91.2,8.78,0.02
484013059,15618,1613,42,90.42,9.34,0.24
484013060,39567,12220,195,76.12,23.51,0.38
484013061,28612,550,35,98.0,1.88,0.12
484013062,68811,12572,104,84.44,15.43,0.13
484013063,9102,1032,11,89.72,10.17,0.11
484013064,25567,2558,71,90.68,9.07,0.25
484013065,8466,2264,27,78.7,21.05,0.25
484013066,44035,4075,11,91.51,8.47,0.02
484013067,14112,508,55,96.16,3.46,0.37
484013068,81348,16003,520,83.12,16.35,0.53
484013069,9958,492,0,95.29,4.71,0.0
484013070,8151,1674,12,82.86,17.02,0.12
484013071,33405,1534,63,95.44,4.38,0.18
484013072,21548,3462,0,86.16,13.84,0.0
484013073,10619,2422,5,81.4,18.57,0.04
484013074,89400,13996,0,86.46,13.54,0.0
484013075,106079,46189,248,69.55,30.28,0.16
484013076,18597,206,188,97.93,1.08,0.99
484013077,6797,145,22,97.6,2.08,0.32
484013078,23349,542,148,97.13,2.25,0.62
484013079,27406,6560,24,80.63,19.3,0.07
484013080,16668,2832,18,85.4,14.51,0.09
484013081,31888,7475,34,80.94,18.97,0.09
484013082,34307,4340,99,88.54,11.2,0.26
484014001,13447,7517,0,64.14,35.86,0.0
484014002,14985,5420,8,73.41,26.55,0.04
484014003,14791,6839,60,68.19,31.53,0.28
484014004,4570,1948,4,70.07,29.87,0.06
484014005,9986,4153,32,70.47,29.31,0.23
484014006,41872,15618,90,72.72,27.12,0.16
484014007,7133,2404,15,74.68,25.17,0.16
484014008,56600,32453,570,63.15,36.21,0.64
484014009,12473,4589,76,72.78,26.78,0.44
484014010,5400,1856,28,74.14,25.48,0.38
484014011,4916,1532,0,76.24,23.76,0.0
484014012,3756,1414,0,72.65,27.35,0.0
484014013,38360,19200,132,66.49,33.28,0.23
484014014,5007,2987,0,62.63,37.37,0.0
484014015,38276,19510,56,66.17,33.73,0.1
484014016,27639,11092,36,71.3,28.61,0.09
484014017,9442,3594,0,72.43,27.57,0.0
484014018,50240,14546,84,77.45,22.42,0.13
484014019,5582,1166,34,82.31,17.19,0.5
484014020,7968,1686,99,81.7,17.29,1.02
484014021,15231,5875,0,72.16,27.84,0.0
484014022,25058,12753,134,66.04,33.61,0.35
484014023,69443,28325,231,70.86,28.9,0.24
484014024,19905,7080,96,73.5,26.14,0.35
484014025,12330,6793,10,64.44,35.5,0.05
484014026,4100,1754,0,70.04,29.96,0.0
484014027,14376,1710,27,89.22,10.61,0.17
484014028,1695,453,6,78.69,21.03,0.28
484014029,13700,4050,25,77.07,22.78,0.14
484014030,33266,14671,160,69.16,30.5,0.33
484014031,2862,879,12,76.26,23.42,0.32
484014032,4346,1454,6,74.85,25.04,0.1
484014033,17294,4439,18,79.51,20.41,0.08
484014034,1529,503,0,75.25,24.75,0.0
484014035,32802,18304,64,64.1,35.77,0.13
484014036,11514,6338,20,64.42,35.46,0.11
484014037,12868,9549,5,57.39,42.59,0.02
484014038,2159,725,3,74.78,25.11,0.1
484014039,943883,540820,5778,63.33,36.28,0.39
484014040,8115,1911,12,80.84,19.04,0.12
484014041,4932,1874,0,72.47,27.53,0.0
484014042,5663,3101,12,64.53,35.34,0.14
484014043,15725,6575,0,70.52,29.48,0.0
484014044,29735,11349,48,72.29,27.59,0.12
484014045,13123,4951,28,72.49,27.35,0.15
484014046,16815,14864,138,52.85,46.72,0.43
484014047,17921,6765,5,72.58,27.4,0.02
484014048,11068,6240,52,63.76,35.94,0.3
484014049,6669,2115,16,75.78,24.03,0.18
484014050,27605,15336,7,64.28,35.71,0.02
484014051,10099,3367,24,74.86,24.96,0.18
484014052,3472,2354,0,59.59,40.41,0.0
484014053,115807,35819,496,76.13,23.55,0.33
484014054,3918,1438,2,73.12,26.84,0.04
484014055,15242,7347,45,67.34,32.46,0.2
484014056,1947,563,7,77.35,22.37,0.28
484014057,2975,770,0,79.44,20.56,0.0
484014058,8240,4754,6,63.38,36.57,0.05
484014059,10794,2702,0,79.98,20.02,0.0
484014060,4002,2082,4,65.74,34.2,0.07
484014061,17259,891,403,93.03,4.8,2.17
484014062,2844,723,7,79.57,20.23,0.2
484014063,60777,32409,50,65.19,34.76,0.05
484014064,26450,4710,28,84.81,15.1,0.09
484014065,7844,4372,0,64.21,35.79,0.0
484014066,36472,11694,0,75.72,24.28,0.0
484014067,169440,83291,916,66.8,32.84,0.36
484014068,8896,2935,16,75.09,24.77,0.14
484014069,7479,1461,0,83.66,16.34,0.0
484014070,99263,36486,468,72.87,26.79,0.34
484014071,2291,867,6,72.41,27.4,0.19
484014072,5024,1978,24,71.51,28.15,0.34
484014073,40276,25824,360,60.6,38.86,0.54
484014074,7934,6085,4,56.58,43.39,0.03
484014075,2484,1236,16,66.49,33.08,0.43
484014076,2118,1238,0,63.11,36.89,0.0
484014077,18929,6787,33,73.51,26.36,0.13
484014078,14930,17170,201,46.22,53.16,0.62
484014079,11275,4018,65,73.41,26.16,0.42
484014080,5404,1014,0,84.2,15.8,0.0
484014081,2615,1093,2,70.49,29.46,0.05
484014082,22555,10374,0,68.5,31.5,0.0
484014083,50638,17981,0,73.8,26.2,0.0
484014084,9710,4900,45,66.26,33.44,0.31
484014085,26457,10476,67,71.51,28.31,0.18
