GEOLEV2,RURAL_HH,URBAN_HH,RURAL_PCT,URBAN_PCT
484001001,90862,758239,10.7,89.3
484001002,33551,12400,73.01,26.99
484001003,26896,26246,50.61,49.39
484001004,9050,5252,63.28,36.72
484001005,33082,67068,33.03,66.97
484001006,24346,64596,27.37,72.63
484001007,3124,4040,43.61,56.39
484001008,11693,8355,58.33,41.67
484002001,66646,394147,14.46,85.54
484002002,112709,819292,12.09,87.91
484002004,84800,1645791,4.9,95.1
484003001,87348,546506,13.78,86.22
484004001,11665,41255,22.04,77.96
484004003,180878,537407,25.18,74.82
484004004,9155,17355,34.53,65.47
484004005,6200,3426,64.41,35.59
484004006,2378,7197,24.84,75.16
484005001,1065,0,100.0,0.0
484005002,2008,133467,1.48,98.52
484005003,2066,20184,9.29,90.71
484005004,14002,8876,61.2,38.8
484005005,1737,0,100.0,0.0
484005006,2238,22980,8.87,91.13
484005007,2500,9708,20.48,79.52
484005008,2890,0,100.0,0.0
484005009,26499,30170,46.76,53.24
484005010,5022,69409,6.75,93.25
484005011,8168,4284,65.6,34.4
484005012,1948,0,100.0,0.0
484005013,1641,0,100.0,0.0
484005014,5814,3531,62.22,37.78
484005015,1591,0,100.0,0.0
484005016,1819,0,100.0,0.0
484005017,37480,70372,34.75,65.25
484005018,1208,215477,0.56,99.44
484005019,1383,7933,14.85,85.15
484005020,3860,64271,5.67,94.33
484005021,2240,3958,36.14,63.86
484005022,825,26313,3.04,96.96
484005023,5009,6542,43.36,56.64
484005024,11280,33990,24.92,75.08
484005025,1931,149817,1.27,98.73
484005026,3467,0,100.0,0.0
484005027,8819,66816,11.66,88.34
484005028,2070,57210,3.49,96.51
484005029,2309,0,100.0,0.0
484005030,16905,705420,2.34,97.66
484005031,1748,19805,8.11,91.89
484005032,3456,37994,8.34,91.66
484005033,42893,59007,42.09,57.91
484005034,2294,3660,38.53,61.47
484005035,23178,615218,3.63,96.37
484005036,17250,3652,82.53,17.47
484005037,936,4448,17.38,82.62
484005038,2205,11425,16.18,83.82
484006001,25379,164775,13.35,86.65
484006002,8768,135425,6.08,93.92
484006003,7100,13470,34.52,65.48
484006004,6694,12272,35.29,64.71
484006005,6971,20020,25.83,74.17
484006006,3103,2932,51.42,48.58
484006007,3948,4929,44.47,55.53
484006008,9056,103097,8.07,91.93
484006009,1965,117750,1.64,98.36
484007001,9514,7900,54.63,45.37
484007002,51847,65862,44.05,55.95
484007003,19170,8232,69.96,30.04
484007004,21046,9800,68.23,31.77
484007005,17790,3605,83.15,16.85
484007006,27392,2815,90.68,9.32
484007007,3870,4490,46.29,53.71
484007008,18096,16269,52.66,47.34
484007009,12181,27929,30.37,69.63
484007010,8622,0,100.0,0.0
484007011,20214,0,100.0,0.0
484007012,14966,27952,34.87,65.13
484007013,17490,11420,60.5,39.5
484007014,13462,4955,73.1,26.9
484007015,25565,18813,57.61,42.39
484007016,12947,2915,81.62,18.38
484007017,30189,45721,39.77,60.23
484007018,4242,3132,57.53,42.47
484007019,43279,97091,30.83,69.17
484007020,29322,14384,67.09,32.91
484007021,14315,6505,68.76,31.24
484007022,13975,0,100.0,0.0
484007023,73300,3210,95.8,4.2
484007024,3779,6976,35.14,64.86
484007025,4944,3370,59.47,40.53
484007026,37194,2965,92.62,7.38
484007028,1754,2545,40.8,59.2
484007029,1674,3600,31.74,68.26
484007030,22080,9228,70.53,29.47
484007031,91971,17311,84.16,15.84
484007032,17738,12418,58.82,41.18
484007033,7000,0,100.0,0.0
484007034,44784,22928,66.14,33.86
484007035,8759,3513,71.37,28.63
484007036,9538,0,100.0,0.0
484007037,18457,14280,56.38,43.62
484007038,21261,0,100.0,0.0
484007039,19520,2625,88.15,11.85
484007040,19566,31900,38.02,61.98
484007041,28621,14070,67.04,32.96
484007042,7899,3170,71.36,28.64
484007043,4764,4983,48.88,51.12
484007044,19407,5316,78.5,21.5
484007045,5475,0,100.0,0.0
484007046,26604,11907,69.08,30.92
484007047,11382,7295,60.94,39.06
484007048,14720,7656,65.78,34.22
484007049,22351,0,100.0,0.0
484007050,5435,0,100.0,0.0
484007051,25192,18090,58.2,41.8
484007052,97506,23533,80.56,19.44
484007053,7967,0,100.0,0.0
484007054,16080,11886,57.5,42.5
484007055,1730,3188,35.18,64.82
484007056,11151,0,100.0,0.0
484007057,46029,23699,66.01,33.99
484007058,40,4160,0.95,99.05
484007059,173831,78301,68.94,31.06
484007060,7215,4650,60.81,39.19
484007061,70275,54092,56.51,43.49
484007062,14197,2848,83.29,16.71
484007063,3778,0,100.0,0.0
484007064,32173,9863,76.54,23.46
484007065,68088,43182,61.19,38.81
484007066,13323,6821,66.14,33.86
484007067,10830,0,100.0,0.0
484007068,15273,13629,52.84,47.16
484007069,33016,16929,66.1,33.9
484007070,14872,0,100.0,0.0
484007071,20820,7200,74.3,25.7
484007072,23993,26873,47.17,52.83
484007074,13068,26235,33.25,66.75
484007075,6986,19614,26.26,73.74
484007076,23733,3236,88.0,12.0
484007077,50103,5272,90.48,9.52
484007078,28302,158056,15.19,84.81
484007079,21418,12305,63.51,36.49
484007080,32361,3665,89.83,10.17
484007081,32602,13329,70.98,29.02
484007082,11972,0,100.0,0.0
484007083,13071,4902,72.73,27.27
484007084,8718,0,100.0,0.0
484007085,2871,7185,28.55,71.45
484007086,4592,15620,22.72,77.28
484007087,15681,19928,44.04,55.96
484007088,2217,0,100.0,0.0
484007089,91680,227887,28.69,71.31
484007090,4096,0,100.0,0.0
484007093,38932,0,100.0,0.0
484007094,19257,19831,49.27,50.73
484007095,52134,21708,70.6,29.4
484007096,34619,49587,41.11,58.89
484007097,1851,3061,37.68,62.32
484007098,53839,19322,73.59,26.41
484007099,24891,6298,79.81,20.19
484007100,3776,548249,0.68,99.32
484007101,26673,11977,69.01,30.99
484007102,20693,5136,80.12,19.88
484007103,6799,6928,49.53,50.47
484007104,7149,6952,50.7,49.3
484007105,24800,36062,40.75,59.25
484007106,30189,43635,40.89,59.11
484007107,31866,67205,32.16,67.84
484007108,17753,16554,51.75,48.25
484007109,2422,4948,32.86,67.14
484007110,20141,15370,56.72,43.28
484008001,2808,8852,24.08,75.92
484008002,3192,17400,15.5,84.5
484008003,4392,3726,54.1,45.9
484008004,1435,6925,17.17,82.83
484008005,5726,17880,24.26,75.74
484008006,4864,0,100.0,0.0
484008007,66899,13600,83.11,16.89
484008008,12595,15876,44.24,55.76
484008009,4386,18512,19.15,80.85
484008010,8386,40560,17.13,82.87
484008011,9588,0,100.0,0.0
484008012,4971,5520,47.38,52.62
484008013,2284,0,100.0,0.0
484008014,1671,0,100.0,0.0
484008015,3979,0,100.0,0.0
484008016,31274,123150,20.25,79.75
484008017,5384,0,100.0,0.0
484008018,12436,805633,1.52,98.48
484008019,8255,0,100.0,0.0
484008020,13261,124078,9.66,90.34
484008021,2899,0,100.0,0.0
484008022,5183,0,100.0,0.0
484008023,4344,0,100.0,0.0
484008024,3513,5025,41.15,58.85
484008025,3202,0,100.0,0.0
484008026,2866,2799,50.59,49.41
484008027,43853,8196,84.25,15.75
484008028,9483,0,100.0,0.0
484008029,20679,20036,50.79,49.21
484008030,1834,104830,1.72,98.28
484008031,1046,0,100.0,0.0
484008032,3400,3747,47.57,52.43
484008033,7860,3205,71.03,28.97
484008034,6699,35200,15.99,84.01
484008035,4975,1323271,0.37,99.63
484008036,4844,0,100.0,0.0
484008037,5289,0,100.0,0.0
484008038,14279,15633,47.74,52.26
484008039,1921,0,100.0,0.0
484008040,1592,0,100.0,0.0
484008041,3080,0,100.0,0.0
484008042,1864,2940,38.8,61.2
484008043,12526,30245,29.29,70.71
484008044,8166,0,100.0,0.0
484008045,5312,0,100.0,0.0
484008046,17292,5949,74.4,25.6
484008047,2834,0,100.0,0.0
484008048,2818,55734,4.81,95.19
484008049,7419,0,100.0,0.0
484008050,3640,23538,13.39,86.61
484008051,4820,0,100.0,0.0
484008052,6668,0,100.0,0.0
484008053,8251,8272,49.94,50.06
484008054,2229,0,100.0,0.0
484008055,2284,0,100.0,0.0
484008056,2977,0,100.0,0.0
484008057,640,4042,13.67,86.33
484008058,1600,7623,17.35,82.65
484008059,4158,0,100.0,0.0
484008060,16615,15786,51.28,48.72
484008061,6266,0,100.0,0.0
484008062,1868,0,100.0,0.0
484008063,18885,0,100.0,0.0
484008064,8227,0,100.0,0.0
484008065,4690,0,100.0,0.0
484009001,3169,5207096,0.06,99.94
484009002,5718,2195410,0.26,99.74
484009003,525,237869,0.22,99.78
484009004,16544,112840,12.79,87.21
484009005,4026,355724,1.12,98.88
484009006,10056,634932,1.56,98.44
484010001,34977,22575,60.77,39.23
484010002,4044,0,100.0,0.0
484010003,4467,0,100.0,0.0
484010004,20465,13482,60.29,39.71
484010005,61034,518685,10.53,89.47
484010006,11721,0,100.0,0.0
484010007,61425,265278,18.8,81.2
484010008,10951,21856,33.38,66.62
484010009,7137,2665,72.81,27.19
484010010,3846,0,100.0,0.0
484010011,4534,0,100.0,0.0
484010012,33500,108480,23.59,76.41
484010013,6876,18156,27.47,72.53
484010014,33075,0,100.0,0.0
