GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484001001,620187,226032,2378,73.08,26.64,0.28
484001002,43949,1849,153,95.64,4.02,0.33
484001003,48733,4331,78,91.7,8.15,0.15
484001004,13758,526,18,96.2,3.68,0.13
484001005,82775,17053,322,82.65,17.03,0.32
484001006,76866,11504,540,86.45,12.94,0.61
484001007,6550,580,30,91.48,8.1,0.42
484001008,19561,482,5,97.57,2.4,0.02
484002001,304557,145166,5450,66.91,31.89,1.2
484002002,556358,366560,4166,60.01,39.54,0.45
484002004,1021837,682280,12574,59.52,39.74,0.73
484003001,399076,229481,3181,63.17,36.33,0.5
484004001,46819,5826,275,88.47,11.01,0.52
484004003,552326,162724,3186,76.9,22.66,0.44
484004004,25365,1102,43,95.68,4.16,0.16
484004005,8801,747,78,91.43,7.76,0.81
484004006,9350,180,45,97.65,1.88,0.47
484005001,1030,35,0,96.71,3.29,0.0
484005002,110114,25103,258,81.28,18.53,0.19
484005003,16189,6049,12,72.76,27.19,0.05
484005004,20952,1786,140,91.58,7.81,0.61
484005005,1561,157,19,89.87,9.04,1.09
484005006,21288,3756,174,84.42,14.89,0.69
484005007,10480,1680,16,86.07,13.8,0.13
484005008,2878,9,2,99.62,0.31,0.07
484005009,49971,6059,639,88.18,10.69,1.13
484005010,57854,16195,382,77.73,21.76,0.51
484005011,11880,520,52,95.41,4.18,0.42
484005012,1743,186,17,89.57,9.56,0.87
484005013,1542,98,1,93.97,5.97,0.06
484005014,8910,409,18,95.43,4.38,0.19
484005015,1549,29,13,97.36,1.82,0.82
484005016,1725,78,16,94.83,4.29,0.88
484005017,96200,11079,341,89.39,10.29,0.32
484005018,148759,67038,629,68.73,30.98,0.29
484005019,7393,1899,0,79.56,20.44,0.0
484005020,54510,13136,485,80.01,19.28,0.71
484005021,6000,190,8,96.81,3.07,0.13
484005022,21232,5710,196,78.24,21.04,0.72
484005023,10407,1131,13,90.1,9.79,0.11
484005024,38885,6127,247,85.92,13.54,0.55
484005025,108888,42127,733,71.76,27.76,0.48
484005026,3250,190,27,93.74,5.48,0.78
484005027,61309,13600,646,81.14,18.0,0.86
484005028,43626,15428,226,73.59,26.03,0.38
484005029,2023,282,4,87.61,12.21,0.17
484005030,504218,211712,5860,69.86,29.33,0.81
484005031,17623,3770,160,81.77,17.49,0.74
484005032,28240,12355,855,68.13,29.81,2.06
484005033,92521,8828,551,90.8,8.66,0.54
484005034,5674,268,12,95.3,4.5,0.2
484005035,457197,177176,3743,71.65,27.77,0.59
484005036,20342,332,204,97.43,1.59,0.98
484005037,4877,481,26,90.58,8.93,0.48
484005038,11730,1695,205,86.06,12.44,1.5
484006001,141557,47659,411,74.65,25.13,0.22
484006002,89067,54824,248,61.79,38.04,0.17
484006003,17371,3061,78,84.7,14.92,0.38
484006004,16282,2603,81,85.85,13.72,0.43
484006005,22037,4891,49,81.69,18.13,0.18
484006006,5779,234,22,95.76,3.88,0.36
484006007,8154,702,21,91.86,7.91,0.24
484006008,96360,15503,222,85.97,13.83,0.2
484006009,70456,48907,276,58.89,40.88,0.23
484007001,17146,186,82,98.46,1.07,0.47
484007002,109877,7504,280,93.38,6.38,0.24
484007003,26589,735,72,97.05,2.68,0.26
484007004,30014,777,55,97.3,2.52,0.18
484007005,21145,0,250,98.83,0.0,1.17
484007006,29743,228,236,98.46,0.75,0.78
484007007,8280,15,65,99.04,0.18,0.78
484007008,33368,683,314,97.1,1.99,0.91
484007009,36949,3054,52,92.25,7.62,0.13
484007010,8564,22,36,99.33,0.26,0.42
484007011,19937,15,262,98.63,0.07,1.3
484007012,40239,2088,591,93.76,4.87,1.38
484007013,27880,810,220,96.44,2.8,0.76
484007014,18312,30,75,99.43,0.16,0.41
484007015,42285,1857,236,95.28,4.18,0.53
484007016,15068,562,232,94.99,3.54,1.46
484007017,71611,4299,0,94.34,5.66,0.0
484007018,7264,88,22,98.51,1.19,0.3
484007019,125484,14059,745,89.45,10.02,0.53
484007020,42709,614,356,97.78,1.41,0.82
484007021,20080,595,40,96.93,2.87,0.19
484007022,13741,22,212,98.33,0.16,1.52
484007023,75735,264,511,98.99,0.35,0.67
484007024,10622,39,93,98.77,0.36,0.86
484007025,8266,42,0,99.49,0.51,0.0
484007026,39503,128,521,98.38,0.32,1.3
484007028,4266,13,20,99.23,0.3,0.47
484007029,5154,76,40,97.8,1.44,0.76
484007030,30673,616,19,97.97,1.97,0.06
484007031,107210,638,1402,98.13,0.58,1.28
484007032,28950,811,395,96.0,2.69,1.31
484007033,6946,16,38,99.23,0.23,0.54
484007034,66001,1663,48,97.47,2.46,0.07
484007035,11861,304,87,96.81,2.48,0.71
484007036,9356,20,162,98.09,0.21,1.7
484007037,31535,1039,93,96.53,3.18,0.28
484007038,20900,61,293,98.33,0.29,1.38
484007039,21770,140,235,98.31,0.63,1.06
484007040,47927,2947,592,93.12,5.73,1.15
484007041,42579,112,0,99.74,0.26,0.0
484007042,10878,90,77,98.49,0.81,0.7
484007043,9559,81,95,98.19,0.83,0.98
484007044,24188,391,144,97.84,1.58,0.58
484007045,5421,12,42,99.01,0.22,0.77
484007046,37255,1055,201,96.74,2.74,0.52
484007047,18553,38,51,99.52,0.2,0.27
484007048,21611,587,178,96.58,2.62,0.8
484007049,22126,64,155,99.02,0.29,0.69
484007050,5255,64,116,96.69,1.18,2.13
484007051,41292,1692,241,95.53,3.91,0.56
484007052,117540,2469,1030,97.11,2.04,0.85
484007053,7847,48,60,98.64,0.6,0.75
484007054,27226,671,45,97.44,2.4,0.16
484007055,4601,281,36,93.55,5.71,0.73
484007056,10971,25,148,98.45,0.22,1.33
484007057,68169,1142,345,97.87,1.64,0.5
484007058,4160,3,37,99.05,0.07,0.88
484007059,247878,2829,1425,98.31,1.12,0.57
484007060,11763,24,78,99.14,0.2,0.66
484007061,120476,2942,949,96.87,2.37,0.76
484007062,16847,153,10,99.04,0.9,0.06
484007063,3621,138,19,95.84,3.65,0.5
484007064,41189,136,711,97.99,0.32,1.69
484007065,106992,3601,677,96.16,3.24,0.61
484007066,19864,29,241,98.66,0.14,1.2
484007067,10690,25,115,98.71,0.23,1.06
484007068,28097,721,84,97.21,2.49,0.29
484007069,47992,1483,470,96.09,2.97,0.94
484007070,14662,39,153,98.71,0.26,1.03
484007071,26839,705,452,95.87,2.52,1.61
484007072,48801,1971,94,95.94,3.87,0.18
484007074,33291,5842,166,84.71,14.87,0.42
484007075,25466,912,222,95.74,3.43,0.83
484007076,26549,149,271,98.44,0.55,1.0
484007077,54743,333,299,98.86,0.6,0.54
484007078,161509,22904,1945,86.67,12.29,1.04
484007079,32788,852,83,97.23,2.53,0.25
484007080,35574,217,235,98.75,0.6,0.65
484007081,45051,641,239,98.08,1.4,0.52
484007082,11688,31,253,97.63,0.26,2.11
484007083,17691,180,102,98.43,1.0,0.57
484007084,8534,82,102,97.89,0.94,1.17
484007085,9897,126,33,98.42,1.25,0.33
484007086,19412,605,175,96.14,3.0,0.87
484007087,34146,1134,253,96.1,3.19,0.71
484007088,2204,0,10,99.55,0.0,0.45
484007089,272843,44202,1823,85.57,13.86,0.57
484007090,4029,31,36,98.36,0.76,0.88
484007093,38596,196,140,99.14,0.5,0.36
484007094,37954,791,343,97.1,2.02,0.88
484007095,72858,732,156,98.8,0.99,0.21
484007096,78993,4160,1053,93.81,4.94,1.25
484007097,4891,0,21,99.57,0.0,0.43
484007098,72478,350,333,99.07,0.48,0.46
484007099,30747,71,361,98.61,0.23,1.16
484007100,396870,152230,2397,71.96,27.6,0.43
484007101,35929,2458,223,93.06,6.37,0.58
484007102,25528,265,36,98.83,1.03,0.14
484007103,13567,160,0,98.83,1.17,0.0
484007104,13647,418,36,96.78,2.96,0.26
484007105,59270,1038,426,97.59,1.71,0.7
484007106,70896,2553,300,96.13,3.46,0.41
484007107,94208,4201,662,95.09,4.24,0.67
484007108,32660,1383,264,95.2,4.03,0.77
484007109,7334,24,12,99.51,0.33,0.16
484007110,35066,188,257,98.75,0.53,0.72
484008001,9844,1816,0,84.43,15.57,0.0
484008002,17064,3336,188,82.88,16.2,0.91
484008003,7019,1079,20,86.46,13.29,0.25
484008004,7786,518,56,93.13,6.2,0.67
484008005,21231,2098,36,90.87,8.98,0.15
484008006,4734,118,12,97.33,2.43,0.25
484008007,76770,2601,1112,95.39,3.23,1.38
484008008,25147,3195,48,88.58,11.25,0.17
484008009,19975,2772,119,87.36,12.12,0.52
484008010,41540,7072,334,84.87,14.45,0.68
484008011,9327,229,32,97.28,2.39,0.33
484008012,9396,1036,59,89.56,9.88,0.56
484008013,2230,47,4,97.76,2.06,0.18
484008014,1610,33,23,96.64,1.98,1.38
484008015,3790,184,1,95.35,4.63,0.03
484008016,117220,36733,471,75.91,23.79,0.31
484008017,5208,142,28,96.84,2.64,0.52
484008018,465374,350940,1672,56.89,42.9,0.2
484008019,8032,192,31,97.3,2.33,0.38
484008020,101535,35517,165,74.0,25.88,0.12
484008021,2825,65,9,97.45,2.24,0.31
484008022,4353,799,24,84.1,15.44,0.46
484008023,3678,632,34,84.67,14.55,0.78
484008024,7512,1014,12,87.98,11.88,0.14
484008025,2982,196,24,93.13,6.12,0.75
484008026,5466,199,0,96.49,3.51,0.0
484008027,51276,549,224,98.51,1.05,0.43
484008028,9237,198,48,97.41,2.09,0.51
484008029,36576,3931,208,89.83,9.65,0.51
484008030,76265,30053,342,71.5,28.18,0.32
484008031,1045,0,1,99.9,0.0,0.1
484008032,6484,651,12,90.72,9.11,0.17
484008033,10390,588,84,93.93,5.32,0.76
484008034,33385,8217,275,79.72,19.62,0.66
484008035,948836,362812,15896,71.47,27.33,1.2
484008036,4400,430,10,90.91,8.88,0.21
484008037,5015,264,10,94.82,4.99,0.19
484008038,26898,3014,0,89.92,10.08,0.0
484008039,1901,0,20,98.96,0.0,1.04
484008040,1561,22,9,98.05,1.38,0.57
484008041,2970,105,4,96.46,3.41,0.13
484008042,4570,204,28,95.17,4.25,0.58
484008043,37961,4620,190,88.75,10.8,0.44
484008044,7952,4,210,97.38,0.05,2.57
484008045,5286,8,16,99.55,0.15,0.3
484008046,21436,1751,54,92.23,7.53,0.23
484008047,2731,72,31,96.37,2.54,1.09
484008048,44790,13446,300,76.52,22.97,0.51
484008049,7257,39,42,98.9,0.53,0.57
484008050,22252,4746,174,81.89,17.47,0.64
484008051,4516,292,0,93.93,6.07,0.0
484008052,6444,200,24,96.64,3.0,0.36
484008053,15408,1043,52,93.36,6.32,0.32
484008054,2197,26,6,98.56,1.17,0.27
484008055,2216,63,5,97.02,2.76,0.22
484008056,2848,124,3,95.73,4.17,0.1
484008057,3548,1110,24,75.78,23.71,0.51
484008058,7501,1698,24,81.33,18.41,0.26
484008059,4052,74,32,97.45,1.78,0.77
484008060,28048,4255,98,86.57,13.13,0.3
484008061,6092,144,30,97.22,2.3,0.48
484008062,1798,62,8,96.25,3.32,0.43
484008063,18332,108,427,97.16,0.57,2.26
