GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484008064,8152,63,9,99.12,0.77,0.11
484008065,4426,234,30,94.37,4.99,0.64
484009001,2746839,2401657,49962,52.84,46.2,0.96
484009002,1476507,714420,9557,67.1,32.47,0.43
484009003,139813,97165,1374,58.66,40.77,0.58
484009004,105806,21872,1706,81.78,16.9,1.32
484009005,251019,106898,1128,69.91,29.77,0.31
484009006,361211,280140,3504,56.01,43.44,0.54
484010001,50794,6471,287,88.26,11.24,0.5
484010002,3981,28,34,98.47,0.69,0.84
484010003,4420,29,18,98.95,0.65,0.4
484010004,31030,2699,218,91.41,7.95,0.64
484010005,406081,170340,3222,70.06,29.39,0.56
484010006,11403,153,165,97.29,1.31,1.41
484010007,262335,62270,2098,80.3,19.06,0.64
484010008,28439,3880,488,86.69,11.83,1.49
484010009,9385,389,28,95.75,3.97,0.29
484010010,3722,105,19,96.78,2.73,0.49
484010011,4452,68,14,98.19,1.5,0.31
484010012,113795,27608,547,80.17,19.45,0.39
484010013,22536,2322,174,90.03,9.28,0.7
484010014,31797,429,840,96.16,1.3,2.54
484010015,11088,900,60,92.03,7.47,0.5
484010016,18235,1009,35,94.58,5.23,0.18
484010017,7926,672,21,91.96,7.8,0.24
484010018,8836,1836,33,82.54,17.15,0.31
484010019,5126,33,25,98.88,0.64,0.48
484010020,11269,780,136,92.48,6.4,1.12
484010021,10318,744,48,92.87,6.7,0.43
484010022,23177,1820,21,92.64,7.27,0.08
484010023,44729,2540,226,94.18,5.35,0.48
484010024,10904,1177,36,89.99,9.71,0.3
484010025,3354,51,21,97.9,1.49,0.61
484010026,19153,200,270,97.6,1.02,1.38
484010027,6279,66,17,98.7,1.04,0.27
484010028,10788,768,109,92.48,6.58,0.93
484010029,2029,107,32,93.59,4.94,1.48
484010030,1696,0,4,99.76,0.0,0.24
484010031,7052,202,4,97.16,2.78,0.06
484010032,38430,7152,224,83.9,15.61,0.49
484010033,5587,398,51,92.56,6.59,0.84
484010034,25772,276,224,98.1,1.05,0.85
484010035,10148,967,97,90.51,8.62,0.87
484010036,20892,1311,156,93.44,5.86,0.7
484010037,7268,44,22,99.1,0.6,0.3
484010038,17936,2565,35,87.34,12.49,0.17
484011001,82905,2545,546,96.41,2.96,0.63
484011002,96759,12793,89,88.25,11.67,0.08
484011003,134727,22531,574,85.36,14.28,0.36
484011004,59447,5490,120,91.38,8.44,0.18
484011005,77212,6507,670,91.5,7.71,0.79
484011006,6678,12,15,99.6,0.18,0.22
484011007,344145,121734,2622,73.46,25.98,0.56
484011008,33828,3183,99,91.16,8.58,0.27
484011009,70519,6306,376,91.34,8.17,0.49
484011010,11017,753,68,93.06,6.36,0.57
484011011,74973,11695,168,86.34,13.47,0.19
484011012,24685,2737,24,89.94,9.97,0.09
484011013,21882,1413,69,93.66,6.05,0.3
484011014,134225,13313,631,90.59,8.99,0.43
484011015,123164,47817,393,71.87,27.9,0.23
484011016,18398,1311,121,92.78,6.61,0.61
484011017,399855,125392,2399,75.78,23.76,0.45
484011018,34181,3403,248,90.35,9.0,0.66
484011019,49768,1587,78,96.76,3.09,0.15
484011020,1112976,308109,10326,77.75,21.52,0.72
484011021,38904,10952,230,77.67,21.87,0.46
484011022,23009,720,16,96.9,3.03,0.07
484011023,137184,10324,471,92.71,6.98,0.32
484011024,10388,968,36,91.19,8.5,0.32
484011025,61740,6475,165,90.29,9.47,0.24
484011026,52210,3500,50,93.63,6.28,0.09
484011027,201719,55516,1403,77.99,21.46,0.54
484011028,85922,9216,574,89.77,9.63,0.6
484011029,35973,1679,139,95.19,4.44,0.37
484011030,101020,4959,272,95.08,4.67,0.26
484011031,96522,17386,852,84.11,15.15,0.74
484011032,66398,7254,0,90.15,9.85,0.0
484011033,103020,11872,533,89.25,10.29,0.46
484011034,4975,104,6,97.84,2.05,0.12
484011035,74487,5436,54,93.14,6.8,0.07
484011036,5694,608,16,90.12,9.62,0.25
484011037,154227,17904,161,89.51,10.39,0.09
484011038,9551,933,24,90.89,8.88,0.23
484011039,32390,2146,81,93.57,6.2,0.23
484011040,18024,85,28,99.38,0.47,0.15
484011041,52713,7743,255,86.83,12.75,0.42
484011042,126160,11404,722,91.23,8.25,0.52
484011043,19250,870,96,95.22,4.3,0.47
484011044,48915,4737,163,90.89,8.8,0.3
484011045,12419,381,48,96.66,2.97,0.37
484011046,63798,6658,412,90.02,9.39,0.58
484012001,627157,155146,3596,79.8,19.74,0.46
484012002,24487,347,155,97.99,1.39,0.62
484012003,37939,909,442,96.56,2.31,1.12
484012004,18616,116,177,98.45,0.61,0.94
484012005,6715,436,102,92.58,6.01,1.41
484012006,12245,1112,188,90.4,8.21,1.39
484012007,28054,3647,112,88.18,11.46,0.35
484012008,6278,404,36,93.45,6.01,0.54
484012009,5629,33,42,98.69,0.58,0.74
484012010,26011,93,210,98.85,0.35,0.8
484012011,57103,4733,223,92.01,7.63,0.36
484012012,59209,1602,382,96.76,2.62,0.62
484012013,31253,1499,346,94.43,4.53,1.05
484012014,12894,1036,82,92.02,7.39,0.59
484012015,11231,1330,41,89.12,10.55,0.33
484012016,13444,32,200,98.3,0.23,1.46
484012017,13932,1170,20,92.13,7.74,0.13
484012018,13520,973,60,92.9,6.69,0.41
484012019,14261,57,99,98.92,0.4,0.69
484012020,18425,60,281,98.18,0.32,1.5
484012021,69999,3258,148,95.36,4.44,0.2
484012022,37419,2260,2592,88.52,5.35,6.13
484012023,24928,2175,165,91.42,7.98,0.61
484012024,7699,124,20,98.16,1.58,0.26
484012025,13993,65,32,99.31,0.46,0.23
484012026,8483,222,105,96.29,2.52,1.19
484012027,19333,1196,154,93.47,5.78,0.74
484012028,131072,4518,1081,95.9,3.31,0.79
484012029,186661,49688,2572,78.13,20.8,1.08
484012030,18689,966,108,94.57,4.89,0.55
484012031,7486,82,74,97.96,1.07,0.97
484012032,35391,556,604,96.83,1.52,1.65
484012033,12320,939,320,90.73,6.92,2.36
484012034,32971,3742,167,89.4,10.15,0.45
484012035,109789,28771,1248,78.53,20.58,0.89
484012036,10501,129,70,98.14,1.21,0.65
484012037,5537,375,0,93.66,6.34,0.0
484012038,116715,25124,942,81.74,17.6,0.66
484012039,23281,1414,284,93.2,5.66,1.14
484012040,24865,560,229,96.92,2.18,0.89
484012041,39465,170,353,98.69,0.43,0.88
484012042,16936,390,38,97.54,2.25,0.22
484012043,37332,88,308,98.95,0.23,0.82
484012044,9684,624,603,88.75,5.72,5.53
484012045,22438,1100,254,94.31,4.62,1.07
484012046,58220,3582,810,92.99,5.72,1.29
484012047,6904,27,42,99.01,0.39,0.6
484012048,40147,4431,156,89.75,9.91,0.35
484012049,10540,417,21,96.01,3.8,0.19
484012050,29846,6679,180,81.31,18.2,0.49
484012051,32596,476,621,96.74,1.41,1.84
484012052,41307,1318,366,96.08,3.07,0.85
484012053,45805,2089,0,95.64,4.36,0.0
484012054,27609,148,242,98.61,0.53,0.86
484012055,88710,15922,517,84.37,15.14,0.49
484012056,43301,341,340,98.45,0.78,0.77
484012057,54446,6617,570,88.34,10.74,0.92
484012058,49076,4296,110,91.76,8.03,0.21
484012059,26730,2122,324,91.62,7.27,1.11
484012060,13325,199,71,98.01,1.46,0.52
484012061,36514,3354,303,90.9,8.35,0.75
484012062,20506,371,286,96.9,1.75,1.35
484012063,9856,18,69,99.13,0.18,0.69
484012064,11050,797,76,92.68,6.68,0.64
484012065,7312,102,41,98.08,1.37,0.55
484012066,74079,6280,457,91.66,7.77,0.57
484012067,20947,2373,88,89.49,10.14,0.38
484012068,12037,56,106,98.67,0.46,0.87
484012069,6544,262,58,95.34,3.82,0.84
484012070,27280,527,235,97.28,1.88,0.84
484012071,42611,40,539,98.66,0.09,1.25
484012072,18720,195,178,98.05,1.02,0.93
484012073,22329,94,90,99.18,0.42,0.4
484012074,41627,3403,805,90.82,7.42,1.76
484013001,18048,944,128,94.39,4.94,0.67
484013002,39678,727,131,97.88,1.79,0.32
484013003,47484,7680,78,85.96,13.9,0.14
484013004,8979,99,87,97.97,1.08,0.95
484013005,16727,810,0,95.38,4.62,0.0
484013006,18282,419,0,97.76,2.24,0.0
484013007,10515,363,3,96.64,3.34,0.03
484013008,37969,4143,264,89.6,9.78,0.62
484013009,17238,402,218,96.53,2.25,1.22
484013010,24002,4548,196,83.5,15.82,0.68
484013011,18642,131,159,98.47,0.69,0.84
484013012,25287,2391,48,91.2,8.62,0.17
484013013,27548,3294,126,88.96,10.64,0.41
484013014,16028,95,96,98.82,0.59,0.59
484013015,18878,301,0,98.43,1.57,0.0
484013016,51243,2926,365,93.97,5.37,0.67
484013017,12092,188,8,98.4,1.53,0.07
484013018,22018,938,247,94.89,4.04,1.06
484013019,34895,4606,107,88.1,11.63,0.27
484013020,2760,8,24,98.85,0.29,0.86
484013021,11608,1576,68,87.59,11.89,0.51
484013022,12642,1242,58,90.68,8.91,0.42
484013023,32399,2384,126,92.81,6.83,0.36
484013024,17557,483,60,97.0,2.67,0.33
484013025,22568,534,135,97.12,2.3,0.58
484013026,12203,64,8,99.41,0.52,0.07
484013027,23897,169,114,98.83,0.7,0.47
484013028,112106,9912,544,91.47,8.09,0.44
484013029,40866,3412,0,92.29,7.71,0.0
484013030,74248,11307,529,86.25,13.13,0.61
484013031,11652,985,20,92.06,7.78,0.16
484013032,10666,130,104,97.85,1.19,0.95
484013033,3183,0,1,99.97,0.0,0.03
484013034,9912,59,45,98.96,0.59,0.45
484013035,11692,322,100,96.52,2.66,0.83
484013036,8284,499,9,94.22,5.68,0.1
484013037,19977,518,84,97.07,2.52,0.41
484013038,7470,238,122,95.4,3.04,1.56
484013039,12668,2244,16,84.86,15.03,0.11
484013040,10124,12,0,99.88,0.12,0.0
484013041,38169,4976,160,88.14,11.49,0.37
484013042,9688,486,34,94.91,4.76,0.33
484013043,7847,42,42,98.94,0.53,0.53
484013044,15133,953,74,93.64,5.9,0.46
484013045,7974,100,26,98.44,1.23,0.32
484013046,37076,727,294,97.32,1.91,0.77
484013047,5825,70,0,98.81,1.19,0.0
484013048,182455,83813,486,68.4,31.42,0.18
484013049,18676,231,0,98.78,1.22,0.0
484013050,86843,40988,152,67.86,32.03,0.12
484013051,30487,1755,125,94.19,5.42,0.39
484013052,17094,693,177,95.16,3.86,0.99
484013053,31235,1099,36,96.49,3.4,0.11
484013054,15478,375,40,97.39,2.36,0.25
484013055,29573,5357,48,84.55,15.32,0.14
484013056,12869,834,39,93.65,6.07,0.28
484013057,16085,1311,156,91.64,7.47,0.89
484013058,33277,1213,36,96.38,3.51,0.1
484013059,16855,394,24,97.58,2.28,0.14
484013060,40262,11585,135,77.45,22.29,0.26
484013061,29101,54,42,99.67,0.18,0.14
484013062,72784,8431,272,89.32,10.35,0.33
484013063,9958,160,27,98.16,1.58,0.27
484013064,26350,1752,94,93.45,6.21,0.33
484013065,9760,973,24,90.73,9.05,0.22
484013066,46987,1079,55,97.64,2.24,0.11
484013067,14281,166,228,97.32,1.13,1.55
484013068,87618,9251,1002,89.52,9.45,1.02
484013069,10402,8,40,99.54,0.08,0.38
484013070,8130,1683,24,82.65,17.11,0.24
484013071,34330,441,231,98.08,1.26,0.66
484013072,22175,2761,74,88.66,11.04,0.3
484013073,12146,868,32,93.1,6.65,0.25
484013074,85466,17745,185,82.66,17.16,0.18
484013075,126366,25286,864,82.85,16.58,0.57
484013076,18693,40,258,98.43,0.21,1.36
484013077,6904,60,0,99.14,0.86,0.0
484013078,23611,179,249,98.22,0.74,1.04
484013079,31192,2782,16,91.77,8.18,0.05
484013080,17790,1704,24,91.15,8.73,0.12
484013081,36799,2409,189,93.41,6.11,0.48
484013082,35806,2814,126,92.41,7.26,0.33
484014001,19283,1667,14,91.98,7.95,0.07
484014002,16913,3470,30,82.85,17.0,0.15
484014003,17375,4112,203,80.11,18.96,0.94
484014004,5794,718,10,88.84,11.01,0.15
484014005,11952,2163,56,84.34,15.26,0.4
484014006,46684,10671,225,81.08,18.53,0.39
484014007,8423,1095,34,88.18,11.46,0.36
484014008,76986,12373,264,85.9,13.81,0.29
484014009,14804,2233,101,86.38,13.03,0.59
484014010,6854,390,40,94.1,5.35,0.55
484014011,6214,218,16,96.37,3.38,0.25
484014012,4644,522,4,89.83,10.1,0.08
484014013,49020,8405,267,84.97,14.57,0.46
484014014,7095,872,27,88.75,10.91,0.34
484014015,38901,18542,399,67.25,32.06,0.69
484014016,35725,2805,237,92.15,7.24,0.61
484014017,12468,556,12,95.64,4.27,0.09
484014018,55940,8846,84,86.23,13.64,0.13
484014019,6591,144,47,97.18,2.12,0.69
484014020,8892,798,63,91.17,8.18,0.65
484014021,18911,2177,18,89.6,10.31,0.09
484014022,30603,6630,712,80.65,17.47,1.88
484014023,68523,29072,404,69.92,29.67,0.41
484014024,23526,3409,146,86.87,12.59,0.54
484014025,14707,4343,83,76.87,22.7,0.43
484014026,5221,633,0,89.19,10.81,0.0
484014027,15399,549,165,95.57,3.41,1.02
484014028,2069,76,9,96.05,3.53,0.42
484014029,17085,680,10,96.12,3.83,0.06
484014030,36163,11458,476,75.19,23.82,0.99
484014031,3657,86,10,97.44,2.29,0.27
484014032,5612,178,16,96.66,3.07,0.28
484014033,18955,2784,12,87.15,12.8,0.06
484014034,1700,325,7,83.66,15.99,0.34
484014035,45980,4998,192,89.86,9.77,0.38
484014036,14132,3591,149,79.07,20.09,0.83
484014037,16461,5936,25,73.41,26.47,0.11
484014038,2793,94,0,96.74,3.26,0.0
484014039,904522,576068,9891,60.69,38.65,0.66
484014040,9845,184,9,98.08,1.83,0.09
484014041,6172,626,8,90.68,9.2,0.12
484014042,7929,783,64,90.35,8.92,0.73
484014043,18575,3675,50,83.3,16.48,0.22
484014044,35554,5554,24,86.44,13.5,0.06
484014045,16804,1262,36,92.83,6.97,0.2
484014046,26683,5068,66,83.86,15.93,0.21
484014047,21426,3215,50,86.78,13.02,0.2
484014048,15292,2028,40,88.09,11.68,0.23
484014049,8522,248,30,96.84,2.82,0.34
484014050,37622,5222,104,87.6,12.16,0.24
484014051,11600,1884,6,85.99,13.97,0.04
484014052,5156,658,12,88.5,11.29,0.21
484014053,122732,28508,882,80.68,18.74,0.58
484014054,4538,820,0,84.7,15.3,0.0
484014055,19116,3434,84,84.46,15.17,0.37
484014056,2447,41,29,97.22,1.63,1.15
484014057,3225,512,8,86.11,13.67,0.21
484014058,10222,2778,0,78.63,21.37,0.0
484014059,11020,2428,48,81.65,17.99,0.36
484014060,5754,296,38,94.51,4.86,0.62
484014061,17488,285,780,94.26,1.54,4.2
484014062,3350,193,31,93.73,5.4,0.87
484014063,68724,24408,104,73.71,26.18,0.11
484014064,29488,1676,24,94.55,5.37,0.08
484014065,11244,972,0,92.04,7.96,0.0
484014066,44608,3435,123,92.61,7.13,0.26
484014067,158846,91592,3209,62.62,36.11,1.27
484014068,11199,612,36,94.53,5.17,0.3
484014069,8511,390,39,95.2,4.36,0.44
484014070,114147,21346,724,83.8,15.67,0.53
484014071,3111,36,17,98.32,1.14,0.54
484014072,6782,206,38,96.53,2.93,0.54
484014073,53908,11815,737,81.11,17.78,1.11
484014074,11820,2127,76,84.29,15.17,0.54
484014075,3475,247,14,93.01,6.61,0.37
484014076,3291,46,19,98.06,1.37,0.57
484014077,22204,3531,14,86.23,13.71,0.05
484014078,26680,5501,120,82.6,17.03,0.37
484014079,14258,990,110,92.84,6.45,0.72
484014080,5902,500,16,91.96,7.79,0.25
484014081,3662,47,1,98.71,1.27,0.03
484014082,25971,6951,7,78.87,21.11,0.02
484014083,58786,9571,262,85.67,13.95,0.38
484014084,12760,1815,80,87.07,12.38,0.55
484014085,29757,7131,112,80.42,19.27,0.3
484014086,15901,2058,145,87.83,11.37,0.8
484014087,14376,2892,24,83.14,16.72,0.14
484014088,14968,2136,39,87.31,12.46,0.23
484014089,3254,252,5,92.68,7.18,0.14
484014090,6218,464,48,92.39,6.89,0.71
484014091,36467,4603,242,88.27,11.14,0.59
484014092,9834,1040,28,90.2,9.54,0.26
484014093,101961,33161,448,75.21,24.46,0.33
484014094,33045,6159,167,83.93,15.64,0.42
484014095,8141,1348,32,85.51,14.16,0.34
484014096,19820,2157,231,89.25,9.71,1.04
484014097,341383,73826,1996,81.83,17.7,0.48
484014098,453992,149119,2115,75.01,24.64,0.35
484014099,9010,362,0,96.14,3.86,0.0
484014100,31753,3861,152,88.78,10.8,0.42
484014101,364403,94757,3913,78.69,20.46,0.85
484014102,5364,1020,12,83.86,15.95,0.19
484014103,7453,970,47,87.99,11.45,0.55
484014104,4976,520,8,90.41,9.45,0.15
484014105,18694,2239,44,89.12,10.67,0.21
484014106,4176,27,7,99.19,0.64,0.17
484014107,5700,775,33,87.58,11.91,0.51
