GEOLEV2,ELEC_YES_HH,ELEC_NO_HH,ELEC_UK_HH,ELEC_YES_PCT,ELEC_NO_PCT,ELEC_UK_PCT
484001001,844427,3755,415,99.51,0.44,0.05
484001002,43823,1996,132,95.37,4.34,0.29
484001003,52476,666,0,98.75,1.25,0.0
484001004,14041,241,20,98.18,1.69,0.14
484001005,97378,2367,405,97.23,2.36,0.4
484001006,88244,435,231,99.25,0.49,0.26
484001007,6998,144,18,97.74,2.01,0.25
484001008,19909,139,0,99.31,0.69,0.0
484002001,437515,16486,1172,96.12,3.62,0.26
484002002,923120,2132,1832,99.57,0.23,0.2
484002004,1699034,10640,7017,98.97,0.62,0.41
484003001,615318,15092,1328,97.4,2.39,0.21
484004001,52202,644,74,98.64,1.22,0.14
484004003,690299,27500,437,96.11,3.83,0.06
484004004,25776,519,215,97.23,1.96,0.81
484004005,9074,516,36,94.27,5.36,0.37
484004006,9351,201,23,97.66,2.1,0.24
484005001,1057,3,5,99.25,0.28,0.47
484005002,134178,1134,163,99.04,0.84,0.12
484005003,22181,69,0,99.69,0.31,0.0
484005004,22634,209,35,98.93,0.91,0.15
484005005,1720,17,0,99.02,0.98,0.0
484005006,25032,162,24,99.26,0.64,0.1
484005007,11318,826,32,92.95,6.78,0.26
484005008,2855,33,1,98.82,1.14,0.03
484005009,56339,317,13,99.42,0.56,0.02
484005010,73189,1235,7,98.33,1.66,0.01
484005011,12156,264,32,97.62,2.12,0.26
484005012,1898,41,7,97.53,2.11,0.36
484005013,1610,24,7,98.11,1.46,0.43
484005014,9007,330,0,96.47,3.53,0.0
484005015,1549,37,5,97.36,2.33,0.31
484005016,1802,5,12,99.07,0.27,0.66
484005017,106537,352,731,98.99,0.33,0.68
484005018,215804,300,322,99.71,0.14,0.15
484005019,9256,33,3,99.61,0.36,0.03
484005020,67498,613,20,99.07,0.9,0.03
484005021,6158,38,2,99.35,0.61,0.03
484005022,26652,486,0,98.21,1.79,0.0
484005023,11091,404,56,96.02,3.5,0.48
484005024,44537,585,137,98.4,1.29,0.3
484005025,150568,1126,54,99.22,0.74,0.04
484005026,3415,26,26,98.5,0.75,0.75
484005027,74412,1001,142,98.49,1.32,0.19
484005028,58965,251,64,99.47,0.42,0.11
484005029,2277,22,10,98.61,0.95,0.43
484005030,715592,3377,2821,99.14,0.47,0.39
484005031,21413,90,50,99.35,0.42,0.23
484005032,41248,202,0,99.51,0.49,0.0
484005033,100234,1001,665,98.37,0.98,0.65
484005034,5254,694,6,88.24,11.66,0.1
484005035,635903,787,1426,99.65,0.12,0.22
484005036,20296,474,108,97.21,2.27,0.52
484005037,5198,176,10,96.55,3.27,0.19
484005038,12445,1080,105,91.31,7.92,0.77
484006001,187858,1378,391,99.07,0.73,0.21
484006002,143902,178,59,99.84,0.12,0.04
484006003,20142,352,16,98.21,1.72,0.08
484006004,18800,132,34,99.12,0.7,0.18
484006005,26893,77,7,99.69,0.29,0.03
484006006,5756,269,10,95.38,4.46,0.17
484006007,8772,96,9,98.82,1.08,0.1
484006008,110860,894,331,98.91,0.8,0.3
484006009,119347,198,94,99.76,0.17,0.08
484007001,16017,1291,106,91.98,7.41,0.61
484007002,115522,1949,190,98.18,1.66,0.16
484007003,26740,612,44,97.61,2.23,0.16
484007004,28371,2405,70,91.98,7.8,0.23
484007005,20340,875,180,95.07,4.09,0.84
484007006,28570,1451,186,94.58,4.8,0.62
484007007,7792,433,135,93.21,5.18,1.61
484007008,33111,858,396,96.35,2.5,1.15
484007009,39218,815,22,97.91,2.03,0.05
484007010,8456,128,38,98.07,1.48,0.44
484007011,18884,1036,294,93.42,5.13,1.45
484007012,38957,3481,480,90.77,8.11,1.12
484007013,28260,480,170,97.75,1.66,0.59
484007014,18140,179,98,98.5,0.97,0.53
484007015,43768,610,0,98.63,1.37,0.0
484007016,15321,448,93,96.59,2.82,0.59
484007017,73047,2743,120,96.23,3.61,0.16
484007018,6967,362,45,94.48,4.91,0.61
484007019,137542,2171,575,98.04,1.55,0.41
484007020,38626,4792,261,88.43,10.97,0.6
484007021,19930,595,190,96.21,2.87,0.92
484007022,11192,2537,246,80.09,18.15,1.76
484007023,73430,2431,649,95.97,3.18,0.85
484007024,10214,276,264,94.98,2.57,2.45
484007025,7316,958,34,88.06,11.53,0.41
484007026,37882,1597,673,94.35,3.98,1.68
484007028,4214,85,0,98.02,1.98,0.0
484007029,5194,68,8,98.56,1.29,0.15
484007030,29426,1850,32,93.99,5.91,0.1
484007031,92271,15571,1408,84.46,14.25,1.29
484007032,28135,1909,112,93.3,6.33,0.37
484007033,6543,425,32,93.47,6.07,0.46
484007034,65556,2084,72,96.82,3.08,0.11
484007035,12049,203,0,98.34,1.66,0.0
484007036,9070,314,154,95.09,3.29,1.61
484007037,32074,488,105,98.18,1.49,0.32
484007038,20100,918,236,94.57,4.32,1.11
484007039,21340,590,215,96.36,2.66,0.97
484007040,50425,772,269,97.98,1.5,0.52
484007041,41918,643,130,98.19,1.51,0.3
484007042,10723,185,137,97.08,1.67,1.24
484007043,8690,960,85,89.27,9.86,0.87
484007044,24024,596,103,97.17,2.41,0.42
484007045,5137,279,59,93.83,5.1,1.08
484007046,37074,1387,50,96.27,3.6,0.13
484007047,18196,234,212,97.61,1.26,1.14
484007048,21652,540,184,96.76,2.41,0.82
484007049,21186,805,354,94.81,3.6,1.58
484007050,5073,320,42,93.34,5.89,0.77
484007051,41782,1176,267,96.66,2.72,0.62
484007052,113230,6547,1262,93.55,5.41,1.04
484007053,7599,300,56,95.52,3.77,0.7
484007054,27338,544,60,97.84,1.95,0.21
484007055,4799,62,57,97.58,1.26,1.16
484007056,10804,133,207,96.95,1.19,1.86
