GEOLEV2,ABOVE_POVERTY_POP,BELOW_POVERTY_POP,ABOVE_POVERTY_PCT,BELOW_POVERTY_PCT
484001001,349829,121709,74.19,25.81
484001002,10445,7534,58.1,41.9
484001003,11485,8563,57.29,42.71
484001004,4083,2248,64.49,35.51
484001005,43792,14956,74.54,25.46
484001006,26740,16134,62.37,37.63
484001007,2041,940,68.47,31.53
484001008,4970,2542,66.16,33.84
484002001,185032,65719,73.79,26.21
484002002,394785,78070,83.49,16.51
484002004,872727,155044,84.91,15.09
484003001,290087,77597,78.9,21.1
484004001,9714,14968,39.36,60.64
484004003,181932,155641,53.89,46.11
484004004,5294,7441,41.57,58.43
484004005,914,2158,29.75,70.25
484004006,1851,2926,38.75,61.25
484005001,238,187,56.0,44.0
484005002,58120,13252,81.43,18.57
484005003,6305,1653,79.23,20.77
484005004,8587,3207,72.81,27.19
484005005,255,214,54.37,45.63
484005006,6923,2450,73.86,26.14
484005007,3027,1443,67.72,32.28
484005008,567,393,59.06,40.94
484005009,12725,8421,60.18,39.82
484005010,23550,4910,82.75,17.25
484005011,2498,1338,65.12,34.88
484005012,436,162,72.91,27.09
484005013,482,106,81.97,18.03
484005014,2562,821,75.73,24.27
484005015,370,216,63.14,36.86
484005016,357,186,65.75,34.25
484005017,31819,15158,67.73,32.27
484005018,71483,20140,78.02,21.98
484005019,2407,734,76.63,23.37
484005020,16144,7408,68.55,31.45
484005021,1541,653,70.24,29.76
484005022,8797,1586,84.73,15.27
484005023,2085,1049,66.53,33.47
484005024,11559,6417,64.3,35.7
484005025,58587,12117,82.86,17.14
484005026,601,362,62.41,37.59
484005027,41850,10827,79.45,20.55
484005028,18363,5805,75.98,24.02
484005029,644,243,72.6,27.4
484005030,284764,71637,79.9,20.1
484005031,6467,2404,72.9,27.1
484005032,11320,3167,78.14,21.86
484005033,20640,15490,57.13,42.87
484005034,1832,570,76.27,23.73
484005035,212449,80953,72.41,27.59
484005036,3469,2830,55.07,44.93
484005037,1627,652,71.39,28.61
484005038,3604,1507,70.51,29.49
484006001,71971,25222,74.05,25.95
484006002,54486,23295,70.05,29.95
484006003,5900,4155,58.68,41.32
484006004,5875,3621,61.87,38.13
484006005,8968,4653,65.84,34.16
484006006,1185,1388,46.06,53.94
484006007,2819,1535,64.75,35.25
484006008,35490,18394,65.86,34.14
484006009,51606,21792,70.31,29.69
484007001,1531,4564,25.12,74.88
484007002,20619,35418,36.8,63.2
484007003,3332,6120,35.25,64.75
484007004,1078,7546,12.5,87.5
484007005,554,5235,9.57,90.43
484007006,1125,8400,11.81,88.19
484007007,229,4142,5.24,94.76
484007008,1599,11611,12.1,87.9
484007009,5789,11601,33.29,66.71
484007010,121,1798,6.31,93.69
484007011,304,4438,6.41,93.59
484007012,11917,13158,47.53,52.47
484007013,2446,8342,22.67,77.33
484007014,484,5339,8.31,91.69
484007015,4461,9409,32.16,67.84
484007016,1087,4555,19.27,80.73
484007017,7573,20413,27.06,72.94
484007018,589,2641,18.24,81.76
484007019,26365,45026,36.93,63.07
484007020,2117,15043,12.34,87.66
484007021,1620,4901,24.84,75.16
484007022,185,5104,3.5,96.5
484007023,984,28315,3.36,96.64
484007024,114,2972,3.69,96.31
484007025,284,2011,12.37,87.63
484007026,446,12552,3.43,96.57
484007028,397,1710,18.84,81.16
484007029,561,738,43.19,56.81
484007030,1199,10378,10.36,89.64
484007031,3175,33766,8.59,91.41
484007032,2501,7945,23.94,76.06
484007033,88,1490,5.58,94.42
484007034,7047,22671,23.71,76.29
484007035,1496,3609,29.3,70.7
484007036,205,1669,10.94,89.06
484007037,4918,7849,38.52,61.48
484007038,871,5962,12.75,87.25
484007039,686,6780,9.19,90.81
484007040,7383,13562,35.25,64.75
484007041,1257,14323,8.07,91.93
484007042,436,2780,13.56,86.44
484007043,1045,2790,27.25,72.75
484007044,1259,9173,12.07,87.93
484007045,489,1564,23.82,76.18
484007046,3581,10798,24.9,75.1
484007047,843,6241,11.9,88.1
484007048,2038,4919,29.29,70.71
484007049,477,10099,4.51,95.49
484007050,551,1592,25.71,74.29
484007051,4850,11923,28.92,71.08
484007052,3695,39599,8.53,91.47
484007053,318,1930,14.15,85.85
484007054,3261,7682,29.8,70.2
484007055,664,1441,31.54,68.46
484007056,171,1885,8.32,91.68
484007057,5472,18663,22.67,77.33
484007058,74,1251,5.58,94.42
484007059,8899,62945,12.39,87.61
484007060,679,3144,17.76,82.24
484007061,14750,35766,29.2,70.8
484007062,1674,4653,26.46,73.54
484007063,387,862,30.98,69.02
484007064,833,11678,6.66,93.34
484007065,12771,32705,28.08,71.92
484007066,384,6885,5.28,94.72
484007067,318,3176,9.1,90.9
484007068,3497,8246,29.78,70.22
484007069,5853,14464,28.81,71.19
484007070,218,1501,12.68,87.32
484007071,2868,7849,26.76,73.24
484007072,2498,15362,13.99,86.01
484007074,6860,7689,47.15,52.85
484007075,1301,9098,12.51,87.49
484007076,1007,7772,11.47,88.53
484007077,1708,16089,9.6,90.4
484007078,35623,50121,41.55,58.45
484007079,6497,10006,39.37,60.63
484007080,463,7682,5.68,94.32
484007081,1769,14355,10.97,89.03
484007082,154,3332,4.42,95.58
484007083,976,5807,14.39,85.61
484007084,506,1886,21.15,78.85
484007085,936,2972,23.95,76.05
484007086,3547,5297,40.11,59.89
484007087,5323,9523,35.85,64.15
484007088,132,706,15.75,84.25
484007089,57756,78587,42.36,57.64
484007090,179,1233,12.68,87.32
484007093,475,13868,3.31,96.69
484007094,2279,13185,14.74,85.26
484007095,3330,21061,13.65,86.35
484007096,12826,20616,38.35,61.65
484007097,141,1694,7.68,92.32
484007098,3497,21719,13.87,86.13
484007099,1203,9858,10.88,89.12
484007100,146423,109020,57.32,42.68
484007101,4725,7719,37.97,62.03
484007102,2765,7391,27.23,72.77
484007103,1135,5523,17.05,82.95
484007104,948,3782,20.04,79.96
484007105,2241,21631,9.39,90.61
484007106,5768,22721,20.25,79.75
484007107,11411,23844,32.37,67.63
484007108,1793,8298,17.77,82.23
484007109,496,2160,18.67,81.33
484007110,612,13575,4.31,95.69
484008001,3791,2754,57.92,42.08
484008002,8060,2194,78.6,21.4
484008003,2498,809,75.54,24.46
484008004,7262,1213,85.69,14.31
484008005,8197,1655,83.2,16.8
484008006,1767,594,74.84,25.16
484008007,7106,14846,32.37,67.63
484008008,3252,2403,57.51,42.49
484008009,6065,2484,70.94,29.06
484008010,14595,4085,78.13,21.87
484008011,732,1355,35.07,64.93
484008012,3002,1705,63.78,36.22
484008013,420,365,53.5,46.5
484008014,344,135,71.82,28.18
484008015,818,394,67.49,32.51
484008016,56573,14439,79.67,20.33
484008017,944,884,51.64,48.36
484008018,365120,67862,84.33,15.67
484008019,661,902,42.29,57.71
484008020,50605,15357,76.72,23.28
484008021,370,487,43.17,56.83
484008022,1720,436,79.78,20.22
484008023,1109,445,71.36,28.64
484008024,1912,787,70.84,29.16
484008025,481,382,55.74,44.26
484008026,1187,337,77.89,22.11
484008027,3019,10073,23.06,76.94
484008028,1164,775,60.03,39.97
484008029,7977,5201,60.53,39.47
484008030,32263,13713,70.17,29.83
484008031,117,166,41.34,58.66
484008032,1150,1103,51.04,48.96
484008033,2847,720,79.81,20.19
484008034,10851,4321,71.52,28.48
484008035,536466,139861,79.32,20.68
484008036,1586,402,79.78,20.22
484008037,1061,420,71.64,28.36
484008038,6246,3320,65.29,34.71
484008039,120,213,36.04,63.96
484008040,303,141,68.24,31.76
484008041,562,401,58.36,41.64
484008042,996,531,65.23,34.77
484008043,13325,4816,73.45,26.55
484008044,384,1826,17.38,82.62
484008045,603,608,49.79,50.21
484008046,6150,2170,73.92,26.08
484008047,418,502,45.43,54.57
484008048,19826,7144,73.51,26.49
484008049,1553,843,64.82,35.18
484008050,6917,2327,74.83,25.17
484008051,1340,452,74.78,25.22
484008052,1681,724,69.9,30.1
484008053,4793,2211,68.43,31.57
484008054,226,424,34.77,65.23
484008055,409,404,50.31,49.69
484008056,750,194,79.45,20.55
484008057,1247,519,70.61,29.39
484008058,3104,1351,69.67,30.33
484008059,759,571,57.07,42.93
484008060,7555,2709,73.61,26.39
484008061,834,893,48.29,51.71
484008062,160,238,40.2,59.8
484008063,1600,1964,44.89,55.11
484008064,358,777,31.54,68.46
484008065,799,769,50.96,49.04
484009001,1845299,816198,69.33,30.67
484009002,611604,405019,60.16,39.84
484009003,70599,37834,65.11,34.89
484009004,39724,34225,53.72,46.28
484009005,109442,69414,61.19,38.81
484009006,209958,129553,61.84,38.16
484010001,9260,10773,46.22,53.78
484010002,286,846,25.27,74.73
484010003,311,858,26.6,73.4
484010004,7308,5638,56.45,43.55
484010005,196680,87701,69.16,30.84
484010006,1217,1646,42.51,57.49
484010007,101349,46512,68.54,31.46
484010008,7267,5625,56.37,43.63
484010009,1586,1816,46.62,53.38
484010010,579,471,55.14,44.86
484010011,701,872,44.56,55.44
484010012,44440,18825,70.24,29.76
484010013,5725,3573,61.57,38.43
484010014,1815,3643,33.25,66.75
484010015,1904,2214,46.24,53.76
484010016,3344,3118,51.75,48.25
484010017,965,1559,38.23,61.77
484010018,2231,1689,56.91,43.09
484010019,330,1111,22.9,77.1
484010020,2034,2051,49.79,50.21
484010021,1528,2054,42.66,57.34
484010022,4110,4005,50.65,49.35
484010023,8670,7459,53.75,46.25
484010024,1827,2563,41.62,58.38
484010025,256,717,26.31,73.69
484010026,2563,1649,60.85,39.15
484010027,490,1101,30.8,69.2
484010028,1763,1864,48.61,51.39
484010029,300,441,40.49,59.51
484010030,190,411,31.61,68.39
484010031,674,1388,32.69,67.31
484010032,10823,7332,59.61,40.39
484010033,874,1015,46.27,53.73
484010034,3004,5144,36.87,63.13
484010035,1480,2127,41.03,58.97
484010036,4079,2686,60.3,39.7
484010037,1266,1273,49.86,50.14
484010038,5053,4425,53.31,46.69
484011001,20082,16013,55.64,44.36
484011002,14891,25190,37.15,62.85
484011003,45821,20289,69.31,30.69
484011004,15498,7559,67.22,32.78
484011005,30660,14980,67.18,32.82
484011006,629,951,39.81,60.19
484011007,144461,74486,65.98,34.02
484011008,10516,4472,70.16,29.84
484011009,14921,10957,57.66,42.34
484011010,1627,2517,39.26,60.74
484011011,22952,16863,57.65,42.35
484011012,6314,4912,56.24,43.76
484011013,6876,3388,66.99,33.01
484011014,35669,29909,54.39,45.61
484011015,54795,26320,67.55,32.45
484011016,3300,3716,47.04,52.96
484011017,174350,66543,72.38,27.62
484011018,7840,6738,53.78,46.22
484011019,7385,9003,45.06,54.94
484011020,580970,213938,73.09,26.91
484011021,10237,6999,59.39,40.61
484011022,4433,4087,52.03,47.97
484011023,30700,27426,52.82,47.18
484011024,2354,2303,50.55,49.45
484011025,31186,9068,77.47,22.53
484011026,16294,8280,66.31,33.69
484011027,65564,38505,63.0,37.0
484011028,17552,16079,52.19,47.81
484011029,8950,4701,65.56,34.44
484011030,23553,15263,60.68,39.32
484011031,43667,12363,77.94,22.06
484011032,25381,8575,74.75,25.25
484011033,28384,13216,68.23,31.77
484011034,985,818,54.63,45.37
484011035,15733,13258,54.27,45.73
484011036,1028,1354,43.16,56.84
484011037,58115,22558,72.04,27.96
484011038,1796,2405,42.75,57.25
484011039,7165,5416,56.95,43.05
484011040,4248,2444,63.48,36.52
484011041,12757,12259,51.0,49.0
484011042,29956,27469,52.17,47.83
484011043,3478,3338,51.03,48.97
484011044,17086,9298,64.76,35.24
484011045,942,1644,36.43,63.57
484011046,9576,14349,40.03,59.97
484012001,178404,146467,54.92,45.08
484012002,933,3610,20.54,79.46
484012003,3126,8028,28.03,71.97
484012004,628,2005,23.85,76.15
484012005,672,2251,22.99,77.01
484012006,1192,2161,35.55,64.45
484012007,5725,5954,49.02,50.98
484012008,725,1680,30.15,69.85
484012009,172,1019,14.44,85.56
484012010,715,6440,9.99,90.01
484012011,10207,14705,40.97,59.03
484012012,6883,17901,27.77,72.23
484012013,4338,8882,32.81,67.19
484012014,2921,3702,44.1,55.9
484012015,2353,3610,39.46,60.54
484012016,912,2811,24.5,75.5
484012017,2363,2859,45.25,54.75
484012018,1738,3905,30.8,69.2
484012019,885,4093,17.78,82.22
484012020,1112,4364,20.31,79.69
484012021,9228,16026,36.54,63.46
484012022,3812,8390,31.24,68.76
484012023,3463,5496,38.65,61.35
484012024,494,2047,19.44,80.56
484012025,698,4089,14.58,85.42
484012026,339,1460,18.84,81.16
484012027,2122,3729,36.27,63.73
484012028,16123,39780,28.84,71.16
484012029,66419,48166,57.96,42.04
484012030,3082,4457,40.88,59.12
484012031,153,1405,9.82,90.18
484012032,1223,7602,13.86,86.14
484012033,1927,4664,29.24,70.76
484012034,4548,9335,32.76,67.24
484012035,32855,33310,49.66,50.34
484012036,1217,2918,29.43,70.57
484012037,534,1518,26.02,73.98
484012038,41611,26012,61.53,38.47
484012039,2639,5740,31.5,68.5
484012040,1012,5518,15.5,84.5
484012041,1747,9692,15.27,84.73
484012042,1755,5826,23.15,76.85
484012043,793,3851,17.08,82.92
484012044,1659,2862,36.7,63.3
484012045,1707,6673,20.37,79.63
484012046,8778,18082,32.68,67.32
484012047,148,1505,8.95,91.05
484012048,8294,9514,46.57,53.43
484012049,1913,2385,44.51,55.49
484012050,7034,7397,48.74,51.26
484012051,2658,7492,26.19,73.81
484012052,3020,10069,23.07,76.93
484012053,5366,9035,37.26,62.74
484012054,874,4796,15.41,84.59
484012055,15260,27011,36.1,63.9
484012056,2852,8434,25.27,74.73
484012057,13230,11627,53.22,46.78
484012058,6802,12595,35.07,64.93
484012059,3091,6603,31.89,68.11
484012060,1214,3235,27.29,72.71
484012061,7950,10313,43.53,56.47
484012062,1428,5202,21.54,78.46
484012063,381,2699,12.37,87.63
484012064,1257,2081,37.66,62.34
484012065,495,1718,22.37,77.63
484012066,13950,19661,41.5,58.5
484012067,2710,3254,45.44,54.56
484012068,627,2139,22.67,77.33
484012069,515,2061,19.99,80.01
484012070,1787,12790,12.26,87.74
484012071,1074,15560,6.46,93.54
484012072,2051,2657,43.56,56.44
484012073,913,7655,10.66,89.34
484012074,10478,10908,48.99,51.01
484013001,4093,4712,46.48,53.52
484013002,4873,10461,31.78,68.22
484013003,12790,14728,46.48,53.52
484013004,1190,2499,32.26,67.74
484013005,4236,3932,51.86,48.14
484013006,2111,4972,29.8,70.2
484013007,2420,2328,50.97,49.03
484013008,8954,9977,47.3,52.7
484013009,3838,4682,45.05,54.95
484013010,8671,3770,69.7,30.3
484013011,1402,4805,22.59,77.41
484013012,5042,6706,42.92,57.08
484013013,17422,7340,70.36,29.64
484013014,1100,3977,21.67,78.33
484013015,2628,4328,37.78,62.22
484013016,9136,12761,41.72,58.28
484013017,1413,3127,31.12,68.88
484013018,2304,5673,28.88,71.12
484013019,8673,8424,50.73,49.27
484013020,137,650,17.41,82.59
484013021,3488,2676,56.59,43.41
484013022,3923,3097,55.88,44.12
484013023,7479,6627,53.02,46.98
484013024,3330,3059,52.12,47.88
484013025,1471,5462,21.22,78.78
484013026,524,2864,15.47,84.53
484013027,1522,6324,19.4,80.6
484013028,17372,28169,38.15,61.85
