GEOLEV2,INDIG_YES_POP,INDIG_NO_POP,INDIG_UK_POP,INDIG_YES_PCT,INDIG_NO_PCT,INDIGS_UK_PCT
484014013,1587,58353,39,2.65,97.29,0.07
484014014,18,8178,2,0.22,99.76,0.02
484014015,5710,55988,17,9.25,90.72,0.03
484014016,807,38222,147,2.06,97.56,0.38
484014017,3325,8837,32,27.27,72.47,0.26
484014018,1316,62770,237,2.05,97.59,0.37
484014019,3847,2440,2,61.17,38.8,0.03
484014020,1780,8561,24,17.17,82.6,0.23
484014021,757,18642,77,3.89,95.72,0.4
484014022,4602,32791,391,12.18,86.79,1.03
484014023,6156,102291,196,5.67,94.15,0.18
484014024,1094,26684,83,3.93,95.78,0.3
484014025,1264,17212,31,6.83,93.0,0.17
484014026,56,5952,2,0.93,99.03,0.03
484014027,11809,5497,75,67.94,31.63,0.43
484014028,375,1689,1,18.16,81.79,0.05
484014029,146,16726,44,0.86,98.88,0.26
484014030,4184,47757,52,8.05,91.85,0.1
484014031,1460,1583,0,47.98,52.02,0.0
484014032,741,4834,17,13.25,86.44,0.3
484014033,378,19492,84,1.89,97.68,0.42
484014034,211,1671,0,11.21,88.79,0.0
484014035,240,49718,132,0.48,99.26,0.26
484014036,1880,16894,57,9.98,89.71,0.3
484014037,2438,22037,17,9.95,89.98,0.07
484014038,107,3877,2,2.68,97.27,0.05
484014039,49765,1274791,6251,3.74,95.79,0.47
484014040,80,8233,11,0.96,98.91,0.13
484014041,209,5445,6,3.69,96.2,0.11
484014042,2705,6644,23,28.86,70.89,0.25
484014043,1997,19919,191,9.03,90.1,0.86
484014044,5378,59008,0,8.35,91.65,0.0
484014045,2486,16832,23,12.85,87.03,0.12
484014046,581,30346,61,1.87,97.93,0.2
484014047,2805,20244,51,12.14,87.64,0.22
484014048,520,17232,25,2.93,96.93,0.14
484014049,16,8232,24,0.19,99.52,0.29
484014050,9892,34105,83,22.44,77.37,0.19
484014051,1333,27772,19,4.58,95.36,0.07
484014052,408,4847,14,7.74,91.99,0.27
484014053,5707,156497,532,3.51,96.17,0.33
484014054,570,4562,15,11.07,88.63,0.29
484014055,1776,18709,47,8.65,91.12,0.23
484014056,161,1585,1,9.22,90.73,0.06
484014057,84,3798,0,2.16,97.84,0.0
484014058,1127,12646,0,8.18,91.82,0.0
484014059,851,12373,41,6.42,93.28,0.31
484014060,4,5036,16,0.08,99.6,0.32
484014061,15470,3894,27,79.78,20.08,0.14
484014062,191,3271,1,5.52,94.46,0.03
484014063,13075,87568,268,12.96,86.78,0.27
484014064,507,30610,191,1.62,97.77,0.61
484014065,36,10796,9,0.33,99.58,0.08
484014066,12231,37484,219,24.49,75.07,0.44
484014067,21989,252926,1464,7.96,91.51,0.53
484014068,3096,7537,54,28.97,70.52,0.51
484014069,575,6752,19,7.83,91.91,0.26
484014070,14459,193439,278,6.95,92.92,0.13
484014071,113,2625,2,4.12,95.8,0.07
484014072,423,6801,3,5.85,94.11,0.04
484014073,2539,65181,212,3.74,95.95,0.31
484014074,455,15376,23,2.87,96.98,0.15
484014075,646,2910,4,18.15,81.74,0.11
484014076,184,2689,3,6.4,93.5,0.1
484014077,129,26577,26,0.48,99.42,0.1
484014078,756,29477,55,2.5,97.32,0.18
484014079,2694,12720,15,17.46,82.44,0.1
484014080,295,4503,6,6.14,93.73,0.12
484014081,17,3352,2,0.5,99.44,0.06
484014082,1274,33775,18,3.63,96.32,0.05
484014083,15133,68268,43,18.14,81.81,0.05
484014084,1488,12767,8,10.43,89.51,0.06
484014085,2061,34388,209,5.62,93.81,0.57
484014086,829,18739,59,4.22,95.48,0.3
484014087,105,15698,4,0.66,99.31,0.03
484014088,940,14865,0,5.95,94.05,0.0
484014089,419,3448,0,10.84,89.16,0.0
484014090,520,6475,0,7.43,92.57,0.0
484014091,796,36717,125,2.11,97.55,0.33
484014092,72,10462,9,0.68,99.23,0.09
484014093,1953,140319,293,1.37,98.42,0.21
484014094,2033,39817,34,4.85,95.06,0.08
484014095,936,8266,10,10.16,89.73,0.11
484014096,1584,19581,103,7.45,92.07,0.48
484014097,49919,640062,627,7.23,92.68,0.09
484014098,36402,614242,2346,5.57,94.07,0.36
484014099,1438,8348,3,14.69,85.28,0.03
484014100,3178,31100,75,9.25,90.53,0.22
484014101,22737,518487,1087,4.19,95.61,0.2
484014102,175,5573,0,3.04,96.96,0.0
484014103,417,6791,4,5.78,94.16,0.06
