GEOLEV2,INT_NO_HH,INT_YES_HH,INT_UK_HH,INT_NO_PCT,INT_YES_PCT,INT_UK_PCT
484007106,69569,11458,9,85.85,14.14,0.01
484007107,88633,20421,0,81.27,18.73,0.0
484007108,38176,1892,0,95.28,4.72,0.0
484007109,7366,162,0,97.85,2.15,0.0
484007110,42389,2519,7,94.38,5.61,0.02
484008001,9256,5292,0,63.62,36.38,0.0
484008002,14967,10995,0,57.65,42.35,0.0
484008003,4673,3814,0,55.06,44.94,0.0
484008004,13319,8041,12,62.32,37.62,0.06
484008005,16068,9973,0,61.7,38.3,0.0
484008006,2232,3552,9,38.53,61.32,0.16
484008007,68859,7915,66,89.61,10.3,0.09
484008008,20082,2884,0,87.44,12.56,0.0
484008009,20421,4710,0,81.26,18.74,0.0
484008010,23725,25647,0,48.05,51.95,0.0
484008011,6793,1279,0,84.16,15.84,0.0
484008012,7352,4376,0,62.69,37.31,0.0
484008013,1584,450,0,77.88,22.12,0.0
484008014,1006,224,0,81.79,18.21,0.0
484008015,1917,1776,1,51.89,48.08,0.03
484008016,82241,96714,136,45.92,54.0,0.08
484008017,3730,1357,8,73.21,26.63,0.16
484008018,217100,717069,70,23.24,76.75,0.01
484008019,5539,646,0,89.56,10.44,0.0
484008020,56225,93578,80,37.51,62.43,0.05
484008021,1316,1136,0,53.67,46.33,0.0
484008022,4452,2188,0,67.05,32.95,0.0
484008023,2220,1562,0,58.7,41.3,0.0
484008024,5689,1311,0,81.27,18.73,0.0
484008025,959,1457,0,39.69,60.31,0.0
484008026,2712,1466,0,64.91,35.09,0.0
484008027,46985,3225,48,93.49,6.42,0.1
484008028,7512,681,0,91.69,8.31,0.0
484008029,24274,11012,0,68.79,31.21,0.0
484008030,48440,67392,63,41.8,58.15,0.05
484008031,632,194,0,76.51,23.49,0.0
484008032,1740,3448,0,33.54,66.46,0.0
484008033,9367,1552,0,85.79,14.21,0.0
484008034,19298,21410,0,47.41,52.59,0.0
484008035,478725,1025548,0,31.82,68.18,0.0
484008036,3531,1447,2,70.9,29.06,0.04
484008037,1592,2391,0,39.97,60.03,0.0
484008038,20399,4656,0,81.42,18.58,0.0
484008039,1273,19,2,98.38,1.47,0.15
484008040,1051,127,0,89.22,10.78,0.0
484008041,2441,300,0,89.06,10.94,0.0
484008042,3013,1250,0,70.68,29.32,0.0
484008043,20047,24557,29,44.92,55.02,0.06
484008044,6832,279,0,96.08,3.92,0.0
484008045,4333,95,0,97.85,2.15,0.0
484008046,12478,10080,0,55.32,44.68,0.0
484008047,2354,391,0,85.76,14.24,0.0
484008048,25993,39427,13,39.72,60.26,0.02
484008049,7753,346,8,95.63,4.27,0.1
484008050,9638,14819,30,39.36,60.52,0.12
484008051,2981,2108,0,58.58,41.42,0.0
484008052,4896,2764,6,63.87,36.06,0.08
484008053,8460,8216,0,50.73,49.27,0.0
484008054,1211,867,0,58.28,41.72,0.0
484008055,1660,507,2,76.53,23.37,0.09
484008056,1701,985,0,63.33,36.67,0.0
484008057,2818,2172,6,56.41,43.47,0.12
484008058,6493,5073,0,56.14,43.86,0.0
484008059,3249,158,0,95.36,4.64,0.0
484008060,15357,14360,0,51.68,48.32,0.0
484008061,4928,374,12,92.74,7.04,0.23
484008062,752,691,6,51.9,47.69,0.41
484008063,16253,684,0,95.96,4.04,0.0
484008064,6471,34,0,99.48,0.52,0.0
484008065,3840,916,0,80.74,19.26,0.0
484009001,905406,4485600,1695,16.79,83.18,0.03
484009002,563533,1686893,240,25.04,74.95,0.01
484009003,52163,194371,70,21.15,78.82,0.03
484009004,72237,80370,0,47.34,52.66,0.0
484009005,106421,282823,42,27.34,72.65,0.01
484009006,161853,532477,0,23.31,76.69,0.0
484010001,39476,19455,20,66.96,33.0,0.03
484010002,2868,1411,12,66.84,32.88,0.28
484010003,2539,1536,3,62.26,37.67,0.07
484010004,22246,12527,0,63.97,36.03,0.0
484010005,251623,431252,160,36.84,63.14,0.02
484010006,7940,2082,0,79.23,20.77,0.0
484010007,181074,189147,23,48.91,51.09,0.01
484010008,18591,17713,0,51.21,48.79,0.0
484010009,8488,1322,0,86.52,13.48,0.0
484010010,2878,932,3,75.48,24.44,0.08
484010011,3969,753,6,83.95,15.93,0.13
484010012,65321,97855,0,40.03,59.97,0.0
484010013,18721,8200,0,69.54,30.46,0.0
484010014,45610,1088,438,96.76,2.31,0.93
484010015,10551,2333,0,81.89,18.11,0.0
484010016,12908,6110,0,67.87,32.13,0.0
484010017,5587,2279,0,71.03,28.97,0.0
484010018,4783,5561,0,46.24,53.76,0.0
484010019,4169,750,0,84.75,15.25,0.0
484010020,9304,3337,0,73.6,26.4,0.0
484010021,9243,1861,0,83.24,16.76,0.0
484010022,16537,8984,0,64.8,35.2,0.0
484010023,39704,11203,0,77.99,22.01,0.0
484010024,9557,3198,4,74.9,25.06,0.03
484010025,2229,605,0,78.65,21.35,0.0
484010026,14506,2652,16,84.46,15.44,0.09
484010027,4747,495,0,90.56,9.44,0.0
484010028,9442,2560,0,78.67,21.33,0.0
484010029,1389,711,0,66.14,33.86,0.0
484010030,1483,137,0,91.54,8.46,0.0
484010031,4274,2449,0,63.57,36.43,0.0
484010032,28017,20250,0,58.05,41.95,0.0
484010033,5882,1035,0,85.04,14.96,0.0
484010034,18520,7565,0,71.0,29.0,0.0
484010035,10014,1212,0,89.2,10.8,0.0
484010036,17627,3484,0,83.5,16.5,0.0
484010037,4329,4848,0,47.17,52.83,0.0
484010038,14029,9347,4,60.0,39.98,0.02
484011001,55528,36406,0,60.4,39.6,0.0
484011002,72387,35803,63,66.87,33.07,0.06
484011003,97624,75286,0,56.46,43.54,0.0
484011004,35241,27611,15,56.06,43.92,0.02
484011005,52861,64685,2,44.97,55.03,0.0
484011006,3161,2169,0,59.31,40.69,0.0
484011007,215341,304182,54,41.45,58.54,0.01
484011008,25377,15845,0,61.56,38.44,0.0
484011009,51241,29774,0,63.25,36.75,0.0
484011010,8481,2556,0,76.84,23.16,0.0
484011011,51103,46748,0,52.23,47.77,0.0
484011012,19571,11106,38,63.72,36.16,0.12
484011013,17629,9715,0,64.47,35.53,0.0
484011014,77515,84165,0,47.94,52.06,0.0
484011015,75463,117999,132,38.98,60.95,0.07
484011016,13369,7745,12,63.28,36.66,0.06
484011017,230506,353442,112,39.47,60.51,0.02
484011018,27815,10863,0,71.91,28.09,0.0
484011019,33546,15894,11,67.84,32.14,0.02
484011020,674894,1037576,837,39.39,60.56,0.05
484011021,21264,25923,0,45.06,54.94,0.0
484011022,18717,6014,0,75.68,24.32,0.0
484011023,108476,46023,0,70.21,29.79,0.0
484011024,6427,5934,0,51.99,48.01,0.0
484011025,52966,30705,0,63.3,36.7,0.0
484011026,40099,25435,10,61.18,38.81,0.02
484011027,109094,163230,462,39.99,59.84,0.17
484011028,45821,47933,8,48.87,51.12,0.01
484011029,29880,11147,0,72.83,27.17,0.0
484011030,86651,32530,343,72.5,27.22,0.29
484011031,74267,56235,11,56.9,43.09,0.01
484011032,58269,31205,0,65.12,34.88,0.0
484011033,82410,45757,24,64.29,35.69,0.02
484011034,3995,1665,0,70.58,29.42,0.0
484011035,52354,28445,0,64.8,35.2,0.0
484011036,3382,3322,0,50.45,49.55,0.0
484011037,98619,104391,0,48.58,51.42,0.0
484011038,7000,4286,12,61.96,37.94,0.11
484011039,23693,12152,0,66.1,33.9,0.0
484011040,14326,5634,0,71.77,28.23,0.0
484011041,34173,27232,0,55.65,44.35,0.0
484011042,96755,51743,30,65.14,34.84,0.02
484011043,13032,8102,16,61.62,38.31,0.08
484011044,34377,31102,0,52.5,47.5,0.0
484011045,5040,6062,0,45.4,54.6,0.0
484011046,42541,26148,0,61.93,38.07,0.0
484012001,355293,418542,48,45.91,54.08,0.01
484012002,22973,1975,0,92.08,7.92,0.0
484012003,31884,5190,0,86.0,14.0,0.0
484012004,18653,2414,0,88.54,11.46,0.0
484012005,5897,1803,0,76.58,23.42,0.0
484012006,9339,1773,0,84.04,15.96,0.0
484012007,22225,10725,12,67.43,32.54,0.04
484012008,8020,1129,0,87.66,12.34,0.0
484012009,5456,235,0,95.87,4.13,0.0
484012010,26344,2061,0,92.74,7.26,0.0
484012011,43728,16815,42,72.18,27.75,0.07
484012012,60352,8408,0,87.77,12.23,0.0
484012013,29957,6822,22,81.4,18.54,0.06
484012014,10151,4981,2,67.07,32.91,0.01
484012015,9438,3523,0,72.82,27.18,0.0
484012016,10318,2087,0,83.18,16.82,0.0
484012017,11635,3944,0,74.68,25.32,0.0
484012018,11958,2392,0,83.33,16.67,0.0
484012019,12445,3053,0,80.3,19.7,0.0
484012020,20203,1150,0,94.61,5.39,0.0
484012021,56755,15956,0,78.06,21.94,0.0
484012022,28301,9905,142,73.8,25.83,0.37
484012023,22007,4545,5,82.87,17.11,0.02
484012024,7304,496,0,93.64,6.36,0.0
484012025,16628,383,0,97.75,2.25,0.0
484012026,7231,1038,0,87.45,12.55,0.0
484012027,16776,3713,0,81.88,18.12,0.0
484012028,115516,25857,0,81.71,18.29,0.0
484012029,120417,158764,0,43.13,56.87,0.0
484012030,18675,3473,0,84.32,15.68,0.0
484012031,5930,325,0,94.8,5.2,0.0
484012032,32675,4263,0,88.46,11.54,0.0
484012033,12531,4873,0,72.0,28.0,0.0
484012034,28367,8036,0,77.92,22.08,0.0
484012035,77860,74265,0,51.18,48.82,0.0
484012036,10541,1195,0,89.82,10.18,0.0
484012037,4854,1283,0,79.09,20.91,0.0
484012038,77559,74238,0,51.09,48.91,0.0
484012039,21094,4913,0,81.11,18.89,0.0
484012040,23963,2349,0,91.07,8.93,0.0
