YEAR,TOTAL_POP,GEOLEV2,EDU_LESS_PRIM_POP,EDU_PRIM_POP,EDU_SEC_POP,EDU_UNI_POP,EDU_UK_POP,EDU_LESS_PRIM_PCT,EDU_PRIM_PCT,EDU_SEC_PCT,EDU_UNI_PCT,EDU_UK_PCT
2020,125515554,484001001,223973,396322,209050,147455,1448,22.9,40.51,21.37,15.07,0.15
2020,125515554,484001002,15980,23779,6551,1907,58,33.1,49.26,13.57,3.95,0.12
2020,125515554,484001003,18892,27660,6458,1943,66,34.34,50.27,11.74,3.53,0.12
2020,125515554,484001004,4813,7961,2525,638,22,30.16,49.88,15.82,4.0,0.14
2020,125515554,484001005,35344,47933,22332,16752,183,28.84,39.11,18.22,13.67,0.15
2020,125515554,484001006,28634,43348,18411,7785,199,29.11,44.06,18.71,7.91,0.2
2020,125515554,484001007,2546,4660,1225,425,12,28.71,52.55,13.81,4.79,0.14
2020,125515554,484001008,6986,10351,3275,552,18,32.98,48.87,15.46,2.61,0.08
2020,125515554,484002001,139970,217569,113570,59702,1238,26.31,40.89,21.35,11.22,0.23
2020,125515554,484002002,213394,428495,226765,132806,3132,21.24,42.65,22.57,13.22,0.31
2020,125515554,484002004,460485,970004,458795,150885,9811,22.46,47.32,22.38,7.36,0.48
2020,125515554,484003001,183109,309875,174725,87065,2119,24.19,40.94,23.08,11.5,0.28
2020,125515554,484004001,18461,20930,11264,5484,69,32.84,37.24,20.04,9.76,0.12
2020,125515554,484004003,221902,304097,136866,96099,15789,28.64,39.25,17.67,12.4,2.04
2020,125515554,484004004,8924,12546,5969,3073,28,29.22,41.08,19.54,10.06,0.09
2020,125515554,484004005,2849,4020,1006,372,22,34.45,48.62,12.17,4.5,0.27
2020,125515554,484004006,3879,4324,2014,672,9,35.59,39.68,18.48,6.17,0.08
2020,125515554,484005001,235,535,175,34,3,23.93,54.48,17.82,3.46,0.31
2020,125515554,484005002,37476,80326,30193,5696,96,24.37,52.23,19.63,3.7,0.06
2020,125515554,484005003,5446,11632,3730,947,79,24.94,53.27,17.08,4.34,0.36
2020,125515554,484005004,8028,13384,4025,2503,164,28.57,47.62,14.32,8.91,0.58
2020,125515554,484005005,538,775,202,41,1,34.55,49.78,12.97,2.63,0.06
2020,125515554,484005006,7226,13956,5138,1158,98,26.2,50.61,18.63,4.2,0.36
2020,125515554,484005007,3614,5876,1799,636,46,30.19,49.09,15.03,5.31,0.38
2020,125515554,484005008,879,1623,353,36,4,30.36,56.06,12.19,1.24,0.14
2020,125515554,484005009,16032,26386,9218,3250,192,29.11,47.91,16.74,5.9,0.35
2020,125515554,484005010,16985,37927,17040,5404,168,21.91,48.92,21.98,6.97,0.22
2020,125515554,484005011,3436,6071,1512,252,30,30.4,53.72,13.38,2.23,0.27
2020,125515554,484005012,516,849,185,10,6,32.95,54.21,11.81,0.64,0.38
2020,125515554,484005013,573,826,186,29,3,35.44,51.08,11.5,1.79,0.19
2020,125515554,484005014,2963,4773,1046,75,0,33.45,53.89,11.81,0.85,0.0
2020,125515554,484005015,433,818,216,32,0,28.89,54.57,14.41,2.13,0.0
2020,125515554,484005016,402,898,307,77,9,23.74,53.04,18.13,4.55,0.53
2020,125515554,484005017,30922,54879,18814,7527,292,27.5,48.81,16.73,6.69,0.26
2020,125515554,484005018,50343,99151,46375,29337,528,22.3,43.92,20.54,13.0,0.23
2020,125515554,484005019,1905,4204,1084,284,37,25.35,55.95,14.43,3.78,0.49
2020,125515554,484005020,17466,36050,10304,3456,275,25.86,53.37,15.25,5.12,0.41
2020,125515554,484005021,1350,3522,1123,236,40,21.53,56.16,17.91,3.76,0.64
2020,125515554,484005022,8216,17377,4738,935,83,26.21,55.43,15.11,2.98,0.26
2020,125515554,484005023,2941,4416,1373,272,20,32.6,48.95,15.22,3.01,0.22
