GEOLEV2,OWNED_HH,UNOWNED_HH,OWNED_UK_HH,OWNED_PCT,UNOWNED_PCT,OWNED_UK_PCT
484001001,712265,312564,0,69.5,30.5,0.0
484001002,43069,8222,0,83.97,16.03,0.0
484001003,37839,20316,0,65.07,34.93,0.0
484001004,13988,2964,0,82.52,17.48,0.0
484001005,90189,39661,0,69.46,30.54,0.0
484001006,77780,26853,0,74.34,25.66,0.0
484001007,7560,1962,0,79.4,20.6,0.0
484001008,18413,4026,0,82.06,17.94,0.0
484002001,359449,194691,58,64.86,35.13,0.01
484002002,767704,269558,284,73.99,25.98,0.03
484002004,1293671,838919,612,60.64,39.33,0.03
484003001,557598,231606,542,70.6,29.33,0.07
484004001,51386,7652,0,87.04,12.96,0.0
484004003,606875,190623,15306,74.66,23.45,1.88
484004004,29490,2424,0,92.4,7.6,0.0
484004005,6793,1820,0,78.87,21.13,0.0
484004006,10345,1076,9,90.51,9.41,0.08
484005001,811,210,0,79.43,20.57,0.0
484005002,126354,36296,0,77.68,22.32,0.0
484005003,15082,7929,0,65.54,34.46,0.0
484005004,22111,7367,0,75.01,24.99,0.0
484005005,1174,468,0,71.5,28.5,0.0
484005006,23668,5399,0,81.43,18.57,0.0
484005007,9512,3185,0,74.92,25.08,0.0
484005008,2435,607,0,80.05,19.95,0.0
484005009,48663,10350,0,82.46,17.54,0.0
484005010,63494,18834,0,77.12,22.88,0.0
484005011,9152,2688,0,77.3,22.7,0.0
484005012,1054,576,0,64.66,35.34,0.0
484005013,1274,461,0,73.43,26.57,0.0
484005014,7381,1966,0,78.97,21.03,0.0
484005015,1178,406,0,74.37,25.63,0.0
484005016,1334,430,0,75.62,24.38,0.0
484005017,97085,20634,0,82.47,17.53,0.0
484005018,184463,53131,0,77.64,22.36,0.0
484005019,5361,2512,0,68.09,31.91,0.0
484005020,52189,19339,0,72.96,27.04,0.0
484005021,5503,1035,0,84.17,15.83,0.0
484005022,23489,9567,0,71.06,28.94,0.0
484005023,6483,3023,0,68.2,31.8,0.0
484005024,33788,10474,0,76.34,23.66,0.0
484005025,124707,49907,0,71.42,28.58,0.0
484005026,2527,692,0,78.5,21.5,0.0
484005027,87806,33068,0,72.64,27.36,0.0
484005028,46621,18133,0,72.0,28.0,0.0
484005029,1969,502,0,79.68,20.32,0.0
484005030,674461,201206,1648,76.88,22.93,0.19
484005031,18103,6614,0,73.24,26.76,0.0
484005032,31158,11054,0,73.81,26.19,0.0
484005033,81222,19509,0,80.63,19.37,0.0
484005034,3529,2994,0,54.1,45.9,0.0
484005035,536897,179931,1095,74.78,25.06,0.15
484005036,18081,2033,0,89.89,10.11,0.0
484005037,3981,2204,0,64.37,35.63,0.0
484005038,8742,4345,0,66.8,33.2,0.0
484006001,139931,77253,6,64.43,35.57,0.0
484006002,95200,59139,0,61.68,38.32,0.0
484006003,14787,6744,24,68.6,31.29,0.11
484006004,12926,7815,0,62.32,37.68,0.0
484006005,21341,9709,0,68.73,31.27,0.0
484006006,4323,1280,0,77.16,22.84,0.0
484006007,6424,3769,0,63.02,36.98,0.0
484006008,64883,50423,0,56.27,43.73,0.0
484006009,99647,50026,0,66.58,33.42,0.0
484007001,14430,3525,0,80.37,19.63,0.0
484007002,108515,34846,0,75.69,24.31,0.0
484007003,20265,6348,0,76.15,23.85,0.0
484007004,33642,2354,0,93.46,6.54,0.0
484007005,23532,889,0,96.36,3.64,0.0
484007006,29484,2165,0,93.16,6.84,0.0
484007007,11180,95,0,99.16,0.84,0.0
484007008,35020,4697,0,88.17,11.83,0.0
484007009,29199,11727,0,71.35,28.65,0.0
484007010,7289,91,0,98.77,1.23,0.0
484007011,19219,918,0,95.44,4.56,0.0
484007012,46624,17828,0,72.34,27.66,0.0
484007013,32174,4767,0,87.1,12.9,0.0
484007014,23543,674,16,97.15,2.78,0.07
484007015,38925,10965,0,78.02,21.98,0.0
484007016,14875,2543,0,85.4,14.6,0.0
484007017,66704,19753,0,77.15,22.85,0.0
484007018,9130,716,0,92.73,7.27,0.0
484007019,123983,40925,0,75.18,24.82,0.0
484007020,43186,6426,0,87.05,12.95,0.0
484007021,17823,4261,0,80.71,19.29,0.0
484007022,21518,368,0,98.32,1.68,0.0
484007023,98763,2977,2,97.07,2.93,0.0
484007024,13460,159,2,98.82,1.17,0.01
484007025,6673,690,0,90.63,9.37,0.0
484007026,54395,1320,6,97.62,2.37,0.01
484007028,5360,792,0,87.13,12.87,0.0
484007029,4574,824,0,84.74,15.26,0.0
484007030,33266,3343,0,90.87,9.13,0.0
484007031,133543,3231,0,97.64,2.36,0.0
484007032,23607,7213,0,76.6,23.4,0.0
484007033,6948,267,0,96.3,3.7,0.0
484007034,62156,18612,0,76.96,23.04,0.0
484007035,10293,4071,0,71.66,28.34,0.0
484007036,7441,241,0,96.86,3.14,0.0
484007037,29814,6477,0,82.15,17.85,0.0
484007038,22529,386,0,98.32,1.68,0.0
484007039,26129,1693,0,93.91,6.09,0.0
484007040,35260,17116,12,67.31,32.67,0.02
484007041,45265,1015,0,97.81,2.19,0.0
484007042,10495,808,0,92.85,7.15,0.0
484007043,8730,2174,0,80.06,19.94,0.0
484007044,26258,2670,0,90.77,9.23,0.0
484007045,5254,918,0,85.13,14.87,0.0
484007046,33540,7304,0,82.12,17.88,0.0
484007047,23662,1185,0,95.23,4.77,0.0
484007048,15623,6124,0,71.84,28.16,0.0
484007049,35329,646,3,98.2,1.8,0.01
484007050,3958,1250,0,76.0,24.0,0.0
484007051,30750,15185,0,66.94,33.06,0.0
484007052,150184,5130,0,96.7,3.3,0.0
484007053,7508,372,0,95.28,4.72,0.0
484007054,22018,6078,0,78.37,21.63,0.0
484007055,4407,1474,0,74.94,25.06,0.0
484007056,13464,143,0,98.95,1.05,0.0
484007057,64623,11550,0,84.84,15.16,0.0
484007058,4529,196,0,95.85,4.15,0.0
484007059,279594,26894,14,91.22,8.77,0.0
484007060,12832,1159,0,91.72,8.28,0.0
484007061,113324,28685,0,79.8,20.2,0.0
484007062,15140,3281,0,82.19,17.81,0.0
484007063,3367,610,0,84.66,15.34,0.0
484007064,53690,1081,0,98.03,1.97,0.0
484007065,103057,28458,0,78.36,21.64,0.0
484007066,25721,497,24,98.01,1.89,0.09
484007067,11401,738,0,93.92,6.08,0.0
