GEOLEV2,EMPLOYED_POP,UNEMPLOYED_POP,EMP_IN_POP,EMP_UK_POP,EMPLOYED_PCT,UNEMPLOYED_PCT,EMP_IN_PCT,EMP_UK_PCT
484007039,7462,1164,10113,108,39.59,6.18,53.66,0.57
484007040,20963,2495,17601,144,50.88,6.06,42.72,0.35
484007041,15586,1495,17300,88,45.22,4.34,50.19,0.26
484007042,3216,446,4134,86,40.8,5.66,52.45,1.09
484007043,3839,376,3922,18,47.08,4.61,48.09,0.22
484007044,10432,920,10461,87,47.63,4.2,47.77,0.4
484007045,2054,166,2363,29,44.54,3.6,51.24,0.63
484007046,14416,1247,15669,69,45.91,3.97,49.9,0.22
484007047,7084,772,8654,34,42.82,4.67,52.31,0.21
484007048,6957,1249,8291,84,41.96,7.53,50.0,0.51
484007049,10584,1916,10155,56,46.6,8.44,44.71,0.25
484007050,2143,120,1910,8,51.26,2.87,45.68,0.19
484007051,16773,2597,15428,178,47.96,7.43,44.11,0.51
484007052,43672,6988,60155,292,39.31,6.29,54.14,0.26
484007053,2248,557,3042,10,38.38,9.51,51.94,0.17
484007054,10943,2061,8379,41,51.08,9.62,39.11,0.19
484007055,2109,425,1903,14,47.38,9.55,42.75,0.31
484007056,2071,1551,4690,14,24.87,18.63,56.33,0.17
484007057,24135,4499,26530,222,43.58,8.12,47.9,0.4
484007058,1325,180,1982,7,37.92,5.15,56.73,0.2
484007059,71890,24546,112104,686,34.36,11.73,53.58,0.33
484007060,3823,535,4862,21,41.37,5.79,52.61,0.23
484007061,50564,5974,49006,421,47.72,5.64,46.25,0.4
484007062,6337,763,6136,90,47.55,5.73,46.05,0.68
484007063,1252,270,1459,13,41.82,9.02,48.73,0.43
484007064,12530,3539,19515,112,35.1,9.91,54.67,0.31
484007065,45558,2936,46360,388,47.83,3.08,48.68,0.41
484007066,7276,1151,8819,114,41.91,6.63,50.8,0.66
484007067,3494,596,4606,62,39.89,6.81,52.59,0.71
484007068,11753,2414,10450,41,47.66,9.79,42.38,0.17
484007069,20349,2667,16253,35,51.77,6.79,41.35,0.09
484007070,1719,843,6051,28,19.89,9.76,70.03,0.32
484007071,10726,1032,9782,108,49.55,4.77,45.19,0.5
484007072,17861,3262,22334,265,40.85,7.46,51.08,0.61
484007074,14552,3185,15769,70,43.34,9.49,46.97,0.21
484007075,10419,1170,9741,137,48.53,5.45,45.38,0.64
484007076,8787,692,12111,17,40.67,3.2,56.05,0.08
484007077,17963,3362,23821,444,39.4,7.37,52.25,0.97
484007078,85800,10155,68505,477,52.02,6.16,41.53,0.29
484007079,16521,2626,12844,110,51.47,8.18,40.01,0.34
484007080,8146,785,12440,8316,27.44,2.64,41.9,28.01
484007081,16162,2628,19985,94,41.58,6.76,51.42,0.24
484007082,3487,1542,5232,8,33.96,15.02,50.95,0.08
484007083,6783,720,7122,38,46.26,4.91,48.57,0.26
484007084,2392,680,3157,32,38.2,10.86,50.42,0.51
484007085,3908,633,3412,30,48.95,7.93,42.74,0.38
484007086,8847,1288,9264,61,45.46,6.62,47.61,0.31
484007087,14846,1729,13790,170,48.62,5.66,45.16,0.56
484007088,838,35,817,5,49.44,2.06,48.2,0.29
484007089,136518,17651,113907,785,50.78,6.57,42.37,0.29
484007090,1412,440,1374,5,43.7,13.62,42.53,0.15
484007093,14365,3905,13491,103,45.08,12.26,42.34,0.32
484007094,15481,3428,16676,45,43.45,9.62,46.8,0.13
484007095,24391,2767,30756,264,41.92,4.76,52.87,0.45
484007096,33442,5957,32058,478,46.49,8.28,44.57,0.66
484007097,1835,678,2816,10,34.37,12.7,52.74,0.19
484007098,25225,4135,32558,307,40.54,6.65,52.32,0.49
484007099,11187,1589,13946,41,41.8,5.94,52.11,0.15
484007100,256146,30821,195249,1503,52.95,6.37,40.36,0.31
